Observation_Month,Initial_Value,Initial_Release_Date
2015-01-01,0.5,2009-03-05
2015-02-01,0.5,2015-01-08
2015-03-01,0.5,2015-02-12
2015-04-01,0.5,2015-03-05
2015-05-01,0.5,2015-04-09
2015-06-01,0.5,2015-05-13
2015-07-01,0.5,2015-06-03
2015-08-01,0.5,2015-07-08
2015-09-01,0.5,2015-08-06
2015-10-01,0.5,2015-09-10
2015-11-01,0.5,2015-10-08
2015-12-01,0.5,2015-11-05
2016-01-01,0.5,2015-12-10
2016-02-01,0.5,2016-01-14
2016-03-01,0.5,2016-02-04
2016-04-01,0.5,2016-03-17
2016-05-01,0.5,2016-04-14
2016-06-01,0.5,2016-05-12
2016-07-01,0.5,2016-06-16
2016-08-01,0.5,2016-07-14
2016-09-01,0.25,2016-08-04
2016-10-01,0.25,2016-09-15
2016-11-01,0.25,2016-09-15
2016-12-01,0.25,2016-11-03
2017-01-01,0.25,2016-12-15
2017-02-01,0.25,2016-12-15
2017-03-01,0.25,2017-02-02
2017-04-01,0.25,2017-03-16
2017-05-01,0.25,2017-03-16
2017-06-01,0.25,2017-05-11
2017-07-01,0.25,2017-06-15
2017-08-01,0.25,2017-06-15
2017-09-01,0.25,2017-08-03
2017-10-01,0.25,2017-09-14
2017-11-01,0.25,2017-09-14
2017-12-01,0.5,2017-11-02
2018-01-01,0.5,2017-12-14
2018-02-01,0.5,2017-12-14
2018-03-01,0.5,2018-02-08
2018-04-01,0.5,2018-03-22
2018-05-01,0.5,2018-03-22
2018-06-01,0.5,2018-05-10
2018-07-01,0.5,2018-06-21
2018-08-01,0.5,2018-06-21
2018-09-01,0.75,2018-08-02
2018-10-01,0.75,2018-09-13
2018-11-01,0.75,2018-11-01
2018-12-01,0.75,2018-11-01
2019-01-01,0.75,2018-12-20
2019-02-01,0.75,2018-12-20
2019-03-01,0.75,2019-02-07
2019-04-01,0.75,2019-03-21
2019-05-01,0.75,2019-03-21
2019-06-01,0.75,2019-05-02
2019-07-01,0.75,2019-06-20
2019-08-01,0.75,2019-08-01
2019-09-01,0.75,2019-08-01
2019-10-01,0.75,2019-09-19
2019-11-01,0.75,2019-09-19
2019-12-01,0.75,2019-11-07
2020-01-01,0.75,2019-12-19
2020-02-01,0.75,2020-01-30
2020-03-01,0.75,2020-01-30
2020-04-01,0.1,2020-03-26
2020-05-01,0.1,2020-03-26
2020-06-01,0.1,2020-05-07
2020-07-01,0.1,2020-06-18
2020-08-01,0.1,2020-06-18
2020-09-01,0.1,2020-08-06
2020-10-01,0.1,2020-09-17
2020-11-01,0.1,2020-09-17
2020-12-01,0.1,2020-11-05
2021-01-01,0.1,2020-12-17
2021-02-01,0.1,2020-12-17
2021-03-01,0.1,2021-02-04
2021-04-01,0.1,2021-03-18
2021-05-01,0.1,2021-03-18
2021-06-01,0.1,2021-05-06
2021-07-01,0.1,2021-06-24
2021-08-01,0.1,2021-06-24
2021-09-01,0.1,2021-08-05
2021-10-01,0.1,2021-09-23
2021-11-01,0.1,2021-09-23
2021-12-01,0.1,2021-11-04
2022-01-01,0.25,2021-12-16
2022-02-01,0.25,2021-12-16
2022-03-01,0.5,2022-02-03
2022-04-01,0.75,2022-03-17
2022-05-01,0.75,2022-03-17
2022-06-01,1.0,2022-05-05
2022-07-01,1.25,2022-06-16
2022-08-01,1.25,2022-06-16
2022-09-01,1.75,2022-08-04
2022-10-01,2.25,2022-09-22
2022-11-01,2.25,2022-09-22
2022-12-01,3.0,2022-11-03
2023-01-01,3.5,2022-12-15
2023-02-01,3.5,2022-12-15
2023-03-01,4.0,2023-02-02
2023-04-01,4.25,2023-03-23
2023-05-01,4.25,2023-03-23
2023-06-01,4.5,2023-05-11
2023-07-01,5.0,2023-06-22
2023-08-01,5.0,2023-06-22
2023-09-01,5.25,2023-08-03
2023-10-01,5.25,2023-09-21
2023-11-01,5.25,2023-09-21
2023-12-01,5.25,2023-11-02
2024-01-01,5.25,2023-12-14
2024-02-01,5.25,2024-02-01
2024-03-01,5.25,2024-02-01
2024-04-01,5.25,2024-03-21
2024-05-01,5.25,2024-03-21
2024-06-01,5.25,2024-05-09
2024-07-01,5.25,2024-06-20
2024-08-01,5.0,2024-08-01
2024-09-01,5.0,2024-08-01
2024-10-01,5.0,2024-09-19
2024-11-01,5.0,2024-09-19
2024-12-01,4.75,2024-11-07
2025-01-01,4.75,2024-12-19
2025-02-01,4.75,2024-12-19
2025-03-01,4.5,2025-02-06
2025-04-01,4.5,2025-03-20
2025-05-01,4.5,2025-03-20
2025-06-01,4.25,2025-05-08
2025-07-01,4.25,2025-06-19
2025-08-01,4.25,2025-06-19
2025-09-01,4.0,2025-08-07
2025-10-01,4.0,2025-09-18
2025-11-01,4.0,2025-09-18
2025-12-01,4.0,2025-11-06
