Observation_Month,Value
2015-01-01,0.39
2015-02-01,0.302
2015-03-01,0.227272727
2015-04-01,0.122
2015-05-01,0.555789474
2015-06-01,0.792727273
2015-07-01,0.71
2015-08-01,0.608571429
2015-09-01,0.654090909
2015-10-01,0.518181818
2015-11-01,0.516190476
2015-12-01,0.5455
2016-01-01,0.4305
2016-02-01,0.172857143
2016-03-01,0.171428571
2016-04-01,0.134285714
2016-05-01,0.132857143
2016-06-01,-0.016818182
2016-07-01,-0.154285714
2016-08-01,-0.13173913
2016-09-01,-0.084090909
2016-10-01,0.002
2016-11-01,0.189090909
2016-12-01,0.251904762
2017-01-01,0.250909091
2017-02-01,0.258
2017-03-01,0.34826087
2017-04-01,0.225555556
2017-05-01,0.336363636
2017-06-01,0.25047619
2017-07-01,0.455714286
2017-08-01,0.346086957
2017-09-01,0.347142857
2017-10-01,0.3725
2017-11-01,0.308181818
2017-12-01,0.296842105
2018-01-01,0.474545455
2018-02-01,0.659
2018-03-01,0.52952381
2018-04-01,0.48
2018-05-01,0.45
2018-06-01,0.327142857
2018-07-01,0.274545455
2018-08-01,0.290869565
2018-09-01,0.3705
2018-10-01,0.399090909
2018-11-01,0.314090909
2018-12-01,0.187058824
2019-01-01,0.132727273
2019-02-01,0.0555
2019-03-01,0.010952381
2019-04-01,-0.0395
2019-05-01,-0.134545455
2019-06-01,-0.315263158
2019-07-01,-0.38826087
2019-08-01,-0.649090909
2019-09-01,-0.594761905
2019-10-01,-0.469545455
2019-11-01,-0.352380952
2019-12-01,-0.299444444
2020-01-01,-0.313636364
2020-02-01,-0.466
2020-03-01,-0.541363636
2020-04-01,-0.4495
2020-05-01,-0.5165
2020-06-01,-0.434285714
2020-07-01,-0.523043478
2020-08-01,-0.523333333
2020-09-01,-0.524090909
2020-10-01,-0.607272727
2020-11-01,-0.614761905
2020-12-01,-0.6185
2021-01-01,-0.5835
2021-02-01,-0.4455
2021-03-01,-0.364782609
2021-04-01,-0.325
2021-05-01,-0.2235
2021-06-01,-0.288636364
2021-07-01,-0.451363636
2021-08-01,-0.538636364
2021-09-01,-0.362727273
2021-10-01,-0.204285714
2021-11-01,-0.313636364
2021-12-01,-0.384285714
2022-01-01,-0.114761905
2022-02-01,0.15
2022-03-01,0.28173913
2022-04-01,0.746315789
2022-05-01,0.952727273
2022-06-01,1.445
2022-07-01,1.081904762
2022-08-01,1.034347826
2022-09-01,1.795454545
2022-10-01,2.186666667
2022-11-01,2.066363636
2022-12-01,2.085238095
2023-01-01,2.192727273
2023-02-01,2.3705
2023-03-01,2.383478261
2023-04-01,2.359444444
2023-05-01,2.342272727
2023-06-01,2.376363636
2023-07-01,2.456666667
2023-08-01,2.545652174
2023-09-01,2.661428571
2023-10-01,2.823181818
2023-11-01,2.601363636
2023-12-01,2.102105263
2024-01-01,2.174545455
2024-02-01,2.3319047619
2024-03-01,2.3495
2024-04-01,2.4457142857
2024-05-01,2.5195454545
2024-06-01,2.4845
2024-07-01,2.4582608696
2024-08-01,2.2077272727
2024-09-01,2.1671428571
2024-10-01,2.2295652174
2024-11-01,2.3057142857
2024-12-01,2.1788888889
2025-01-01,2.4836363636
2025-02-01,2.4055
2025-03-01,2.7414285714
2025-04-01,2.5105
2025-05-01,2.5628571429
2025-06-01,2.519047619
2025-07-01,2.6313043478
2025-08-01,2.6733333333
2025-09-01,2.6931818182
2025-10-01,2.617826087
2025-11-01,2.6575
2025-12-01,2.8142105263
