Observation_Month,Initial_Value,Initial_Release_Date
2015-01-01,-0.2,2014-09-04
2015-02-01,-0.2,2015-01-22
2015-03-01,-0.2,2015-01-22
2015-04-01,-0.2,2015-03-05
2015-05-01,-0.2,2015-04-15
2015-06-01,-0.2,2015-04-15
2015-07-01,-0.2,2015-06-03
2015-08-01,-0.2,2015-07-16
2015-09-01,-0.2,2015-07-16
2015-10-01,-0.2,2015-09-03
2015-11-01,-0.2,2015-10-22
2015-12-01,-0.2,2015-10-22
2016-01-01,-0.3,2015-12-03
2016-02-01,-0.3,2016-01-21
2016-03-01,-0.3,2016-01-21
2016-04-01,-0.4,2016-03-10
2016-05-01,-0.4,2016-04-21
2016-06-01,-0.4,2016-04-21
2016-07-01,-0.4,2016-06-02
2016-08-01,-0.4,2016-07-21
2016-09-01,-0.4,2016-07-21
2016-10-01,-0.4,2016-09-08
2016-11-01,-0.4,2016-10-20
2016-12-01,-0.4,2016-10-20
2017-01-01,-0.4,2016-12-08
2017-02-01,-0.4,2017-01-19
2017-03-01,-0.4,2017-01-19
2017-04-01,-0.4,2017-03-09
2017-05-01,-0.4,2017-04-27
2017-06-01,-0.4,2017-04-27
2017-07-01,-0.4,2017-06-08
2017-08-01,-0.4,2017-07-20
2017-09-01,-0.4,2017-07-20
2017-10-01,-0.4,2017-09-07
2017-11-01,-0.4,2017-10-26
2017-12-01,-0.4,2017-10-26
2018-01-01,-0.4,2017-12-14
2018-02-01,-0.4,2018-01-25
2018-03-01,-0.4,2018-01-25
2018-04-01,-0.4,2018-03-08
2018-05-01,-0.4,2018-04-26
2018-06-01,-0.4,2018-04-26
2018-07-01,-0.4,2018-06-14
2018-08-01,-0.4,2018-07-26
2018-09-01,-0.4,2018-07-26
2018-10-01,-0.4,2018-09-13
2018-11-01,-0.4,2018-10-25
2018-12-01,-0.4,2018-10-25
2019-01-01,-0.4,2018-12-13
2019-02-01,-0.4,2019-01-24
2019-03-01,-0.4,2019-01-24
2019-04-01,-0.4,2019-03-07
2019-05-01,-0.4,2019-04-10
2019-06-01,-0.4,2019-04-10
2019-07-01,-0.4,2019-06-06
2019-08-01,-0.4,2019-07-25
2019-09-01,-0.4,2019-07-25
2019-10-01,-0.5,2019-09-12
2019-11-01,-0.5,2019-10-24
2019-12-01,-0.5,2019-10-24
2020-01-01,-0.5,2019-12-12
2020-02-01,-0.5,2020-01-23
2020-03-01,-0.5,2020-01-23
2020-04-01,-0.5,2020-03-12
2020-05-01,-0.5,2020-04-30
2020-06-01,-0.5,2020-04-30
2020-07-01,-0.5,2020-06-04
2020-08-01,-0.5,2020-07-16
2020-09-01,-0.5,2020-07-16
2020-10-01,-0.5,2020-09-10
2020-11-01,-0.5,2020-10-29
2020-12-01,-0.5,2020-10-29
2021-01-01,-0.5,2020-12-10
2021-02-01,-0.5,2021-01-21
2021-03-01,-0.5,2021-01-21
2021-04-01,-0.5,2021-03-11
2021-05-01,-0.5,2021-04-22
2021-06-01,-0.5,2021-04-22
2021-07-01,-0.5,2021-06-10
2021-08-01,-0.5,2021-07-22
2021-09-01,-0.5,2021-07-22
2021-10-01,-0.5,2021-09-09
2021-11-01,-0.5,2021-10-28
2021-12-01,-0.5,2021-10-28
2022-01-01,-0.5,2021-12-16
2022-02-01,-0.5,2021-12-16
2022-03-01,-0.5,2022-02-03
2022-04-01,-0.5,2022-03-10
2022-05-01,-0.5,2022-04-14
2022-06-01,-0.5,2022-04-14
2022-07-01,-0.5,2022-06-09
2022-08-01,0.0,2022-07-21
2022-09-01,0.0,2022-07-21
2022-10-01,0.75,2022-09-08
2022-11-01,0.75,2022-10-27
2022-12-01,1.5,2022-10-27
2023-01-01,2.0,2022-12-15
2023-02-01,2.0,2022-12-15
2023-03-01,2.5,2023-02-02
2023-04-01,3.0,2023-03-16
2023-05-01,3.0,2023-03-16
2023-06-01,3.25,2023-05-04
2023-07-01,3.5,2023-06-15
2023-08-01,3.5,2023-07-27
2023-09-01,3.75,2023-07-27
2023-10-01,4.0,2023-09-14
2023-11-01,4.0,2023-10-26
2023-12-01,4.0,2023-10-26
2024-01-01,4.0,2023-12-14
2024-02-01,4.0,2024-01-25
2024-03-01,4.0,2024-01-25
2024-04-01,4.0,2024-03-07
2024-05-01,4.0,2024-04-11
2024-06-01,4.0,2024-04-11
2024-07-01,3.75,2024-06-06
2024-08-01,3.75,2024-07-18
2024-09-01,3.75,2024-07-18
2024-10-01,3.5,2024-09-12
2024-11-01,3.25,2024-10-17
2024-12-01,3.25,2024-10-17
2025-01-01,3.0,2024-12-12
2025-02-01,3.0,2025-01-30
2025-03-01,2.75,2025-01-30
2025-04-01,2.5,2025-03-06
2025-05-01,2.25,2025-04-17
2025-06-01,2.25,2025-04-17
2025-07-01,2.0,2025-06-05
2025-08-01,2.0,2025-07-24
2025-09-01,2.0,2025-07-24
2025-10-01,2.0,2025-09-11
2025-11-01,2.0,2025-10-30
2025-12-01,2.0,2025-10-30
