Observation_Month,Initial_Value,Initial_Release_Date,Current_Value,Latest_Revision_Date
2015-01-01,116.03,2015-02-24,76.34,2026-04-16
2015-02-01,116.78,2015-03-18,76.81,2026-04-16
2015-03-01,118.09,2015-04-17,77.71,2026-04-16
2015-04-01,118.4,2015-05-20,78.04,2026-04-16
2015-05-01,118.66,2015-07-16,78.26,2026-04-16
2015-06-01,118.65,2015-07-16,78.27,2026-04-16
2015-07-01,117.89,2015-08-24,77.79,2026-04-16
2015-08-01,117.9,2015-09-16,77.79,2026-04-16
2015-09-01,118.17,2015-10-19,77.96,2026-04-16
2015-10-01,118.33,2015-11-17,78.05,2026-04-16
2015-11-01,118.16,2015-12-16,77.72,2026-04-16
2015-12-01,118.14,2016-01-22,77.73,2026-04-16
2016-01-01,98.72,2016-02-25,76.58,2026-04-16
2016-02-01,98.88,2016-03-17,76.71,2026-04-16
2016-03-01,100.1,2016-05-18,77.67,2026-04-16
2016-04-01,100.14,2016-05-18,77.84,2026-04-16
2016-05-01,100.51,2016-06-16,78.16,2026-04-16
2016-06-01,100.68,2016-07-15,78.3,2026-04-16
2016-07-01,100.12,2016-08-18,77.92,2026-04-16
2016-08-01,100.21,2016-09-15,77.97,2026-04-16
2016-09-01,100.6,2016-10-17,78.27,2026-04-16
2016-10-01,100.85,2016-11-17,78.45,2026-04-16
2016-11-01,100.76,2016-12-16,78.17,2026-04-16
2016-12-01,101.31,2017-01-18,78.58,2026-04-16
2017-01-01,100.46,2017-02-22,77.91,2026-04-16
2017-02-01,100.84,2017-03-16,78.21,2026-04-16
2017-03-01,101.65,2017-04-19,78.87,2026-04-16
2017-04-01,102.04,2017-05-17,79.31,2026-04-16
2017-05-01,101.92,2017-06-16,79.25,2026-04-16
2017-06-01,101.95,2017-07-17,79.32,2026-04-16
2017-07-01,101.44,2017-08-17,78.96,2026-04-16
2017-08-01,101.71,2017-09-18,79.17,2026-04-16
2017-09-01,102.15,2017-10-17,79.49,2026-04-16
2017-10-01,102.24,2017-11-16,79.53,2026-04-16
2017-11-01,102.31,2017-12-18,79.36,2026-04-16
2017-12-01,102.68,2018-01-17,79.64,2026-04-16
2018-01-01,101.77,2018-02-23,78.92,2026-04-16
2018-02-01,101.98,2018-03-16,79.09,2026-04-16
2018-03-01,103.01,2018-04-18,79.97,2026-04-16
2018-04-01,103.31,2018-05-16,80.29,2026-04-16
2018-05-01,103.83,2018-06-15,80.79,2026-04-16
2018-06-01,103.95,2018-07-18,80.88,2026-04-16
2018-07-01,103.61,2018-08-17,80.7,2026-04-16
2018-08-01,103.78,2018-09-17,80.82,2026-04-16
2018-09-01,104.25,2018-10-17,81.14,2026-04-16
2018-10-01,104.49,2018-11-16,81.34,2026-04-16
2018-11-01,104.3,2018-12-17,80.89,2026-04-16
2018-12-01,104.29,2019-01-17,80.85,2026-04-16
2019-01-01,102.97,2019-03-15,80.01,2026-04-16
2019-02-01,103.3,2019-03-15,80.27,2026-04-16
2019-03-01,104.35,2019-04-17,81.09,2026-04-16
2019-04-01,105.1,2019-05-17,81.67,2026-04-16
2019-05-01,105.24,2019-06-18,81.78,2026-04-16
2019-06-01,105.41,2019-08-19,81.91,2026-04-16
2019-07-01,104.91,2019-08-19,81.52,2026-04-16
2019-08-01,105.06,2019-09-18,81.64,2026-04-16
2019-09-01,105.29,2019-10-16,81.82,2026-04-16
2019-10-01,105.44,2019-11-15,81.93,2026-04-16
2019-11-01,105.1,2019-12-18,81.67,2026-04-16
2019-12-01,105.43,2020-01-17,81.93,2026-04-16
2020-01-01,104.37,2020-02-21,81.1,2026-04-16
2020-02-01,104.56,2020-03-18,81.25,2026-04-16
2020-03-01,105.13,2020-04-17,81.69,2026-04-16
2020-04-01,105.43,2020-05-20,81.93,2026-04-16
2020-05-01,105.33,2020-06-17,81.85,2026-04-16
2020-06-01,105.69,2020-07-17,82.13,2026-04-16
2020-07-01,105.32,2020-08-19,81.84,2026-04-16
2020-08-01,104.88,2020-09-17,81.5,2026-04-16
2020-09-01,104.97,2020-10-16,81.56,2026-04-16
2020-10-01,105.16,2020-11-18,81.71,2026-04-16
2020-11-01,104.8,2020-12-17,81.43,2026-04-16
2020-12-01,105.15,2021-01-20,81.7,2026-04-16
2021-01-01,105.32,2021-02-23,81.84,2026-04-16
2021-02-01,105.54,2021-03-17,82.01,2026-04-16
2021-03-01,106.53,2021-04-16,82.78,2026-04-16
2021-04-01,107.14,2021-05-19,83.25,2026-04-16
2021-05-01,107.42,2021-06-17,83.47,2026-04-16
2021-06-01,107.7,2021-07-16,83.69,2026-04-16
2021-07-01,107.6,2021-08-18,83.61,2026-04-16
2021-08-01,107.98,2021-09-17,83.9,2026-04-16
2021-09-01,108.49,2021-10-20,84.3,2026-04-16
2021-10-01,109.41,2021-11-17,85.02,2026-04-16
2021-11-01,109.9,2021-12-17,85.4,2026-04-16
2021-12-01,110.37,2022-01-20,85.76,2026-04-16
2022-01-01,110.7,2022-02-23,86.02,2026-04-16
2022-02-01,111.74,2022-03-17,86.83,2026-04-16
2022-03-01,114.46,2022-04-21,88.94,2026-04-16
2022-04-01,115.11,2022-05-18,89.45,2026-04-16
2022-05-01,116.07,2022-06-17,90.19,2026-04-16
2022-06-01,117.01,2022-07-19,90.92,2026-04-16
2022-07-01,117.14,2022-08-18,91.02,2026-04-16
2022-08-01,117.85,2022-09-16,91.58,2026-04-16
2022-09-01,119.26,2022-10-19,92.67,2026-04-16
2022-10-01,121.03,2022-11-17,94.05,2026-04-16
2022-11-01,120.95,2022-12-16,93.98,2026-04-16
2022-12-01,120.52,2023-01-18,93.65,2026-04-16
2023-01-01,120.26,2023-02-23,93.45,2026-04-16
2023-02-01,121.24,2023-03-17,94.21,2026-04-16
2023-03-01,122.34,2023-04-19,95.06,2026-04-16
2023-04-01,123.12,2023-05-17,95.66,2026-04-16
2023-05-01,123.14,2023-06-16,95.69,2026-04-16
2023-06-01,123.45,2023-07-19,95.93,2026-04-16
2023-07-01,123.32,2023-08-18,95.83,2026-04-16
2023-08-01,124.0,2023-09-19,96.35,2026-04-16
2023-09-01,124.4,2023-10-18,96.67,2026-04-16
2023-10-01,124.51,2023-11-17,96.75,2026-04-16
2023-11-01,123.82,2023-12-19,96.21,2026-04-16
2023-12-01,124.02,2024-01-17,96.37,2026-04-16
2024-01-01,123.58,2024-02-22,96.03,2026-04-16
2024-02-01,124.36,2024-03-18,96.63,2026-04-16
2024-03-01,125.29,2024-04-17,97.35,2026-04-16
2024-04-01,126.01,2024-05-17,97.91,2026-04-16
2024-05-01,126.28,2024-06-18,98.13,2026-04-16
2024-06-01,126.55,2024-07-17,98.33,2026-04-16
2024-07-01,126.5,2024-08-20,98.3,2026-04-16
2024-08-01,126.67,2024-09-18,98.43,2026-04-16
