Observation_Month,Initial_Value,Initial_Release_Date,Current_Value,Latest_Revision_Date
2015-01-01,11.3,2018-01-02,11.4,2023-03-09
2015-02-01,11.2,2018-01-02,11.4,2023-03-09
2015-03-01,11.2,2018-01-02,11.3,2022-02-11
2015-04-01,11.1,2018-01-02,11.2,2023-03-09
2015-05-01,11.1,2018-01-02,11.1,2021-04-14
2015-06-01,11.0,2018-01-02,11.1,2023-03-09
2015-07-01,10.8,2018-01-02,10.8,2018-01-02
2015-08-01,10.7,2018-01-02,10.7,2018-01-02
2015-09-01,10.6,2018-01-02,10.7,2022-02-11
2015-10-01,10.6,2018-01-02,10.7,2021-10-13
2015-11-01,10.5,2018-01-02,10.6,2022-02-11
2015-12-01,10.5,2018-01-02,10.6,2023-03-09
2016-01-01,10.4,2018-01-02,10.5,2023-03-09
2016-02-01,10.3,2018-01-02,10.5,2023-03-09
2016-03-01,10.2,2018-01-02,10.3,2021-04-14
2016-04-01,10.2,2018-01-02,10.3,2021-08-12
2016-05-01,10.1,2018-01-02,10.2,2021-04-14
2016-06-01,10.1,2018-01-02,10.2,2023-03-09
2016-07-01,10.0,2018-01-02,10.0,2018-01-02
2016-08-01,9.9,2018-01-02,10.0,2023-03-09
2016-09-01,9.9,2018-01-02,9.9,2018-01-02
2016-10-01,9.8,2018-01-02,9.9,2023-03-09
2016-11-01,9.8,2018-01-02,9.9,2022-02-11
2016-12-01,9.7,2018-01-02,9.7,2021-04-14
2017-01-01,9.6,2018-01-02,9.7,2023-03-09
2017-02-01,9.5,2018-01-02,9.6,2023-03-09
2017-03-01,9.4,2018-01-02,9.5,2022-02-11
2017-04-01,9.2,2018-01-02,9.3,2022-02-11
2017-05-01,9.2,2018-01-02,9.3,2023-03-09
2017-06-01,9.1,2018-01-02,9.1,2019-12-12
2017-07-01,9.0,2018-01-02,9.1,2022-02-11
2017-08-01,9.0,2018-01-02,9.0,2018-01-02
2017-09-01,8.9,2018-01-02,8.9,2018-01-02
2017-10-01,8.8,2018-01-02,8.8,2018-01-02
2017-11-01,8.7,2018-01-02,8.7,2022-06-14
2017-12-01,8.6,2018-03-09,8.7,2020-08-11
2018-01-01,8.6,2018-03-09,8.7,2021-07-13
2018-02-01,8.5,2018-04-04,8.6,2021-07-13
2018-03-01,8.5,2018-05-03,8.5,2022-06-14
2018-04-01,8.5,2018-06-01,8.4,2022-06-14
2018-05-01,8.4,2018-07-02,8.3,2021-04-14
2018-06-01,8.3,2018-08-02,8.2,2022-06-14
2018-07-01,8.2,2018-09-04,8.1,2018-11-13
2018-08-01,8.1,2018-10-09,8.0,2019-01-15
2018-09-01,8.1,2018-11-13,8.0,2019-01-15
2018-10-01,8.1,2018-12-17,8.0,2022-06-14
2018-11-01,7.9,2019-01-15,7.9,2023-03-09
2018-12-01,7.9,2019-02-13,7.9,2022-02-11
2019-01-01,7.8,2019-03-13,7.9,2022-02-11
2019-02-01,7.8,2019-04-11,7.8,2022-08-10
2019-03-01,7.7,2019-05-22,7.7,2022-03-10
2019-04-01,7.6,2019-06-14,7.7,2020-11-10
2019-05-01,7.5,2019-07-11,7.6,2023-03-09
2019-06-01,7.5,2019-08-12,7.5,2023-02-13
2019-07-01,7.5,2019-09-11,7.5,2020-08-11
2019-08-01,7.4,2019-10-09,7.5,2023-02-13
2019-09-01,7.6,2019-12-12,7.5,2022-02-11
2019-10-01,7.5,2019-12-12,7.4,2023-03-09
2019-11-01,7.5,2020-01-15,7.5,2021-09-15
2019-12-01,7.4,2020-02-12,7.5,2022-02-11
2020-01-01,7.4,2020-03-11,7.5,2021-04-14
2020-02-01,7.3,2020-04-11,7.4,2021-07-13
2020-03-01,7.4,2020-05-14,7.2,2022-02-11
2020-04-01,7.3,2020-06-11,7.4,2022-02-11
2020-05-01,7.4,2020-07-10,7.6,2022-09-14
2020-06-01,7.8,2020-08-11,8.1,2022-03-10
2020-07-01,7.9,2020-09-10,8.5,2023-03-09
