Observation_Month,Initial_Value,Initial_Release_Date
2015-01-01,0.25,2008-12-16
2015-02-01,0.25,2015-01-28
2015-03-01,0.25,2015-01-28
2015-04-01,0.25,2015-03-18
2015-05-01,0.25,2015-04-29
2015-06-01,0.25,2015-04-29
2015-07-01,0.25,2015-06-17
2015-08-01,0.25,2015-07-29
2015-09-01,0.25,2015-07-29
2015-10-01,0.25,2015-09-17
2015-11-01,0.25,2015-10-28
2015-12-01,0.25,2015-10-28
2016-01-01,0.5,2015-12-16
2016-02-01,0.5,2016-01-27
2016-03-01,0.5,2016-01-27
2016-04-01,0.5,2016-03-16
2016-05-01,0.5,2016-04-27
2016-06-01,0.5,2016-04-27
2016-07-01,0.5,2016-06-15
2016-08-01,0.5,2016-07-27
2016-09-01,0.5,2016-07-27
2016-10-01,0.5,2016-09-21
2016-11-01,0.5,2016-09-21
2016-12-01,0.5,2016-11-02
2017-01-01,0.75,2016-12-14
2017-02-01,0.75,2017-02-01
2017-03-01,0.75,2017-02-01
2017-04-01,1.0,2017-03-15
2017-05-01,1.0,2017-03-15
2017-06-01,1.0,2017-05-03
2017-07-01,1.25,2017-06-14
2017-08-01,1.25,2017-07-26
2017-09-01,1.25,2017-07-26
2017-10-01,1.25,2017-09-20
2017-11-01,1.25,2017-11-01
2017-12-01,1.25,2017-11-01
2018-01-01,1.5,2017-12-13
2018-02-01,1.5,2018-01-31
2018-03-01,1.5,2018-01-31
2018-04-01,1.75,2018-03-21
2018-05-01,1.75,2018-03-21
2018-06-01,1.75,2018-05-02
2018-07-01,2.0,2018-06-13
2018-08-01,2.0,2018-08-01
2018-09-01,2.0,2018-08-01
2018-10-01,2.25,2018-09-26
2018-11-01,2.25,2018-09-26
2018-12-01,2.25,2018-11-08
2019-01-01,2.5,2018-12-19
2019-02-01,2.5,2019-01-30
2019-03-01,2.5,2019-01-30
2019-04-01,2.5,2019-03-20
2019-05-01,2.5,2019-05-01
2019-06-01,2.5,2019-05-01
2019-07-01,2.5,2019-06-19
2019-08-01,2.25,2019-07-31
2019-09-01,2.25,2019-07-31
2019-10-01,2.0,2019-09-18
2019-11-01,1.75,2019-10-30
2019-12-01,1.75,2019-10-30
2020-01-01,1.75,2019-12-11
2020-02-01,1.75,2020-01-29
2020-03-01,1.75,2020-01-29
2020-04-01,0.25,2020-03-15
2020-05-01,0.25,2020-04-29
2020-06-01,0.25,2020-04-29
2020-07-01,0.25,2020-06-10
2020-08-01,0.25,2020-07-29
2020-09-01,0.25,2020-07-29
2020-10-01,0.25,2020-09-16
2020-11-01,0.25,2020-09-16
2020-12-01,0.25,2020-11-05
2021-01-01,0.25,2020-12-16
2021-02-01,0.25,2021-01-27
2021-03-01,0.25,2021-01-27
2021-04-01,0.25,2021-03-17
2021-05-01,0.25,2021-04-28
2021-06-01,0.25,2021-04-28
2021-07-01,0.25,2021-06-16
2021-08-01,0.25,2021-07-28
2021-09-01,0.25,2021-07-28
2021-10-01,0.25,2021-09-22
2021-11-01,0.25,2021-09-22
2021-12-01,0.25,2021-11-03
2022-01-01,0.25,2021-12-15
2022-02-01,0.25,2022-01-26
2022-03-01,0.25,2022-01-26
2022-04-01,0.5,2022-03-16
2022-05-01,0.5,2022-03-16
2022-06-01,1.0,2022-05-04
2022-07-01,1.75,2022-06-15
2022-08-01,2.5,2022-07-27
2022-09-01,2.5,2022-07-27
2022-10-01,3.25,2022-09-21
2022-11-01,3.25,2022-09-21
2022-12-01,4.0,2022-11-02
2023-01-01,4.5,2022-12-14
2023-02-01,4.5,2023-02-01
2023-03-01,4.75,2023-02-01
2023-04-01,5.0,2023-03-22
2023-05-01,5.0,2023-03-22
2023-06-01,5.25,2023-05-03
2023-07-01,5.25,2023-06-14
2023-08-01,5.5,2023-07-26
2023-09-01,5.5,2023-07-26
2023-10-01,5.5,2023-09-20
2023-11-01,5.5,2023-11-01
2023-12-01,5.5,2023-11-01
2024-01-01,5.5,2023-12-13
2024-02-01,5.5,2024-01-31
2024-03-01,5.5,2024-01-31
2024-04-01,5.5,2024-03-20
2024-05-01,5.5,2024-05-01
2024-06-01,5.5,2024-05-01
2024-07-01,5.5,2024-06-12
2024-08-01,5.5,2024-07-31
2024-09-01,5.5,2024-07-31
2024-10-01,5.0,2024-09-18
2024-11-01,5.0,2024-09-18
2024-12-01,4.75,2024-11-07
2025-01-01,4.5,2024-12-18
2025-02-01,4.5,2025-01-29
2025-03-01,4.5,2025-01-29
2025-04-01,4.5,2025-03-19
2025-05-01,4.5,2025-03-19
2025-06-01,4.5,2025-05-07
2025-07-01,4.5,2025-06-18
2025-08-01,4.5,2025-07-30
2025-09-01,4.5,2025-07-30
2025-10-01,4.25,2025-09-17
2025-11-01,4.0,2025-10-29
2025-12-01,4.0,2025-10-29
