Observation_Month,Initial_Value,Initial_Release_Date,Current_Value,Latest_Revision_Date
2015-01-01,111.028608866565,2015-03-02,99.2,2018-10-09
2015-02-01,111.29067481983,2015-04-01,99.5,2018-10-09
2015-03-01,111.46538545534,2015-05-01,99.6,2018-10-09
2015-04-01,111.81,2015-06-01,99.9,2018-10-09
2015-05-01,111.99,2015-07-01,100.1,2018-10-09
2015-06-01,111.99,2015-08-03,100.1,2018-10-09
2015-07-01,111.81,2015-09-01,100.0,2018-10-09
2015-08-01,112.16,2015-10-01,100.3,2018-10-09
2015-09-01,111.99,2015-11-02,100.2,2018-10-09
2015-10-01,112.16,2015-12-01,100.3,2018-10-09
2015-11-01,112.08,2016-01-04,100.3,2018-10-09
2015-12-01,112.25,2016-02-01,100.4,2018-10-09
2016-01-01,111.36,2016-03-01,99.9,2018-10-09
2016-02-01,111.59,2016-04-01,100.1,2018-10-09
2016-03-01,112.04,2016-05-02,100.4,2018-10-09
2016-04-01,112.04,2016-05-02,100.6,2018-10-09
2016-05-01,112.26,2016-07-01,100.8,2018-10-09
2016-06-01,112.49,2016-08-01,101.0,2018-10-09
2016-07-01,112.49,2016-09-01,100.9,2018-10-09
2016-08-01,112.82,2016-10-03,101.2,2018-10-09
2016-09-01,113.05,2016-11-01,101.5,2018-10-09
2016-10-01,113.16,2016-12-01,101.6,2018-10-09
2016-11-01,113.38,2017-01-03,101.8,2018-10-09
2016-12-01,113.94,2017-02-01,102.2,2018-10-09
2017-01-01,113.38,2017-03-01,101.8,2018-10-09
2017-02-01,114.16,2017-04-03,102.4,2018-10-09
2017-03-01,114.61,2017-05-01,102.7,2018-10-09
2017-04-01,115.06,2017-07-03,103.2,2018-10-09
2017-05-01,115.51,2017-07-03,103.5,2018-10-09
2017-06-01,115.51,2017-09-01,103.5,2018-10-09
2017-07-01,115.39,2017-09-01,103.5,2018-10-09
2017-08-01,116.06,2017-10-02,104.0,2018-10-09
2017-09-01,116.4,2017-11-01,104.3,2018-10-09
2017-10-01,116.51,2017-12-01,104.4,2018-10-09
2017-11-01,116.958628401044,2018-01-02,104.7,2018-10-09
2017-12-01,117.294073797987,2018-03-09,105.0,2018-10-09
2018-01-01,116.734998136414,2018-03-09,104.5,2018-10-09
2018-02-01,117.294073797987,2018-03-21,104.9,2018-10-09
2018-03-01,117.405888930302,2018-04-20,105.1,2018-10-09
2018-04-01,117.092119866815,2018-05-24,105.5,2018-10-09
2018-05-01,117.536071032186,2018-06-14,105.9,2018-10-09
2018-06-01,117.536071032186,2018-07-19,105.9,2018-10-09
2018-07-01,117.536071032186,2018-08-23,105.9,2018-10-09
2018-08-01,106.5,2018-10-09,106.5,2018-10-09
2018-09-01,106.6,2018-11-13,106.6,2018-11-13
2018-10-01,106.7,2018-12-17,106.7,2018-12-17
2018-11-01,106.9,2019-01-15,106.9,2019-01-15
2018-12-01,107.1,2019-02-13,107.1,2019-02-13
2019-01-01,106.4,2019-03-13,106.4,2019-03-13
2019-02-01,106.8,2019-04-11,106.8,2019-04-11
2019-03-01,107.0,2019-05-22,107.0,2019-05-22
2019-04-01,107.6,2019-06-14,107.6,2019-06-14
2019-05-01,107.9,2019-07-11,107.9,2019-07-11
2019-06-01,107.9,2019-08-12,107.9,2019-08-12
2019-07-01,108.0,2019-09-11,108.0,2019-09-11
2019-08-01,108.3,2019-10-09,108.3,2019-10-09
2019-09-01,108.4,2019-12-12,108.4,2019-12-12
2019-10-01,108.3,2019-12-12,108.3,2019-12-12
2019-11-01,108.5,2020-01-15,108.5,2020-01-15
2019-12-01,108.5,2020-02-12,108.5,2020-02-12
2020-01-01,108.3,2020-03-11,108.3,2020-03-11
2020-02-01,108.6,2020-04-11,108.6,2020-04-11
2020-03-01,108.6,2020-05-14,108.6,2020-05-14
2020-04-01,108.6,2020-06-11,108.6,2020-06-11
2020-05-01,108.6,2020-07-10,108.6,2020-07-10
2020-06-01,108.8,2020-08-11,108.8,2020-08-11
2020-07-01,109.2,2020-09-10,109.2,2020-09-10
2020-08-01,108.8,2020-10-09,108.8,2020-10-09
2020-09-01,109.2,2020-11-10,109.2,2020-11-10
2020-10-01,109.2,2020-12-09,109.2,2020-12-09
2020-11-01,109.1,2021-01-19,109.1,2021-01-19
2020-12-01,109.4,2021-02-12,109.4,2021-02-12
2021-01-01,109.3,2021-03-10,109.3,2021-03-10
2021-02-01,109.4,2021-04-14,109.4,2021-04-14
2021-03-01,109.7,2021-05-12,109.7,2021-05-12
2021-04-01,110.4,2021-06-10,110.4,2021-06-10
2021-05-01,111.0,2021-07-13,111.0,2021-07-13
2021-06-01,111.4,2021-08-12,111.4,2021-08-12
2021-07-01,111.4,2021-09-15,111.4,2021-09-15
2021-08-01,112.1,2021-10-13,112.1,2021-10-13
2021-09-01,112.4,2021-11-11,112.4,2021-11-11
2021-10-01,113.4,2021-12-10,113.4,2021-12-10
2021-11-01,114.1,2022-01-18,114.1,2022-01-18
2021-12-01,114.7,2022-02-11,114.7,2022-02-11
2022-01-01,114.6,2022-03-10,114.6,2022-03-10
2022-02-01,115.4,2022-04-14,115.4,2022-04-14
2022-03-01,116.5,2022-05-11,116.5,2022-05-11
2022-04-01,119.0,2022-06-14,119.0,2022-06-14
2022-05-01,119.7,2022-07-13,119.7,2022-07-13
2022-06-01,120.5,2022-08-10,120.5,2022-08-10
2022-07-01,121.2,2022-09-14,121.2,2022-09-14
2022-08-01,121.8,2022-11-11,121.8,2022-11-11
2022-09-01,122.3,2022-11-11,122.3,2022-11-11
2022-10-01,124.3,2022-12-10,124.3,2022-12-10
2022-11-01,124.8,2023-01-11,124.8,2023-01-11
2022-12-01,125.3,2023-02-13,125.3,2023-02-13
2023-01-01,124.8,2023-03-09,124.8,2023-03-09
2023-02-01,126.0,2023-04-07,126.0,2023-04-07
2023-03-01,126.8,2023-05-10,126.8,2023-05-10
2023-04-01,128.3,2023-06-13,128.3,2023-06-13
2023-05-01,129.1,2023-07-07,129.1,2023-07-07
2023-06-01,129.4,2023-08-10,129.4,2023-08-10
2023-07-01,129.0,2023-09-09,129.0,2023-09-09
2023-08-01,129.4,2023-10-07,129.4,2023-10-07
2023-09-01,130.1,2023-11-10,130.1,2023-11-10
2023-10-01,130.2,2023-12-09,130.2,2023-12-09
2023-11-01,130.0,2024-01-11,130.0,2024-01-11
2023-12-01,130.5,2024-05-15,130.5,2024-05-15
2024-01-01,130.0,2024-05-15,130.0,2024-05-15
2024-02-01,130.8,2024-05-15,130.8,2024-05-15
2024-03-01,131.6,2024-05-15,131.6,2024-05-15
2024-04-01,132.2,2024-06-17,132.2,2024-06-17
2024-05-01,132.7,2024-07-15,132.7,2024-07-15
2024-06-01,133.0,2024-08-15,133.0,2024-08-15
2024-07-01,132.9,2024-09-16,132.9,2024-09-16
2024-08-01,133.4,2024-10-15,133.4,2024-10-15
2024-09-01,133.5,2024-11-15,133.5,2024-11-15
2024-10-01,134.3,2024-12-16,134.3,2024-12-16
2024-11-01,134.6,2025-01-15,134.6,2025-01-15
2024-12-01,135.1,2025-02-17,135.1,2025-02-17
2025-01-01,135.1,2025-03-17,135.1,2025-03-17
2025-02-01,135.6,2025-04-15,135.6,2025-04-15
2025-03-01,136.1,2025-05-15,136.1,2025-05-15
