Observation_Month,Initial_Value,Initial_Release_Date,Current_Value,Latest_Revision_Date
2015-01-01,5.4,2015-06-01,5.6,2022-03-10
2015-02-01,5.4,2015-06-01,5.5,2025-01-15
2015-03-01,5.4,2015-07-01,5.5,2022-03-10
2015-04-01,5.6,2015-08-03,5.6,2025-01-15
2015-05-01,5.6,2015-09-01,5.6,2022-03-10
2015-06-01,5.5,2015-10-01,5.5,2025-01-15
2015-07-01,5.3,2015-11-02,5.4,2022-03-10
2015-08-01,5.2,2015-12-01,5.3,2025-01-15
2015-09-01,5.2,2016-01-04,5.2,2022-03-10
2015-10-01,5.1,2016-02-01,5.1,2022-03-10
2015-11-01,5.1,2016-03-01,5.1,2022-03-10
2015-12-01,5.0,2016-04-01,5.1,2022-03-10
2016-01-01,5.0,2016-05-02,5.1,2025-01-15
2016-02-01,4.9,2016-06-01,5.1,2022-03-10
2016-03-01,5.0,2016-07-01,5.0,2025-01-15
2016-04-01,4.9,2016-08-01,4.9,2025-01-15
2016-05-01,5.0,2016-09-01,4.9,2025-01-15
2016-06-01,4.8,2016-10-03,4.9,2022-03-10
2016-07-01,4.9,2016-11-01,5.0,2022-03-10
2016-08-01,4.7,2016-12-01,4.8,2025-01-15
2016-09-01,4.8,2017-01-03,4.8,2025-01-15
2016-10-01,4.8,2017-02-01,4.8,2025-01-15
2016-11-01,4.7,2017-03-01,4.7,2025-01-15
2016-12-01,4.6,2017-04-03,4.7,2025-01-15
2017-01-01,4.5,2017-05-01,4.6,2025-01-15
2017-02-01,4.6,2017-07-03,4.6,2022-03-10
2017-03-01,4.5,2017-07-03,4.5,2025-01-15
2017-04-01,4.4,2017-09-01,4.4,2025-01-15
2017-05-01,4.4,2017-09-01,4.4,2025-01-15
2017-06-01,4.3,2017-10-02,4.3,2025-01-15
2017-07-01,4.2,2017-11-01,4.3,2025-01-15
2017-08-01,4.2,2017-12-01,4.3,2022-03-10
2017-09-01,4.2,2018-01-02,4.2,2025-01-15
2017-10-01,4.3,2018-03-09,4.3,2022-03-10
2017-11-01,4.3,2018-03-09,4.4,2022-03-10
2017-12-01,4.2,2018-04-04,4.3,2025-01-15
2018-01-01,4.1,2018-05-03,4.2,2025-01-15
2018-02-01,4.1,2018-06-01,4.2,2025-01-15
2018-03-01,4.1,2018-07-02,4.2,2025-01-15
2018-04-01,4.1,2018-08-02,4.2,2022-03-10
2018-05-01,4.0,2018-09-04,4.0,2025-01-15
2018-06-01,4.0,2018-10-09,4.0,2025-01-15
2018-07-01,4.0,2018-11-13,4.0,2025-01-15
2018-08-01,4.0,2018-12-17,4.1,2025-01-15
2018-09-01,4.1,2019-01-15,4.1,2022-03-10
2018-10-01,4.0,2019-02-13,4.0,2025-01-15
2018-11-01,4.0,2019-03-13,4.0,2025-01-15
2018-12-01,3.8,2019-04-11,3.9,2025-01-15
2019-01-01,3.8,2019-05-22,4.0,2024-04-10
2019-02-01,3.7,2019-06-14,3.8,2025-01-15
2019-03-01,3.7,2019-07-11,3.8,2025-01-15
2019-04-01,3.7,2019-08-12,3.8,2025-01-15
2019-05-01,3.8,2019-09-11,3.9,2025-01-15
