Observation_Month,Value
2015-01-01,1.589
2015-02-01,1.7365
2015-03-01,1.7941
2015-04-01,1.755
2015-05-01,2.0243
2015-06-01,2.1696
2015-07-01,2.1353
2015-08-01,1.9799
2015-09-01,1.8814
2015-10-01,1.846
2015-11-01,1.9779
2015-12-01,1.9234
2016-01-01,1.7833
2016-02-01,1.5032
2016-03-01,1.5434
2016-04-01,1.5688
2016-05-01,1.5366
2016-06-01,1.3105
2016-07-01,0.9569
2016-08-01,0.7421
2016-09-01,0.8243
2016-10-01,1.078
2016-11-01,1.3818
2016-12-01,1.4336
2017-01-01,1.4203
2017-02-01,1.3058
2017-03-01,1.194
2017-04-01,1.0789
2017-05-01,1.1175
2017-06-01,1.0846
2017-07-01,1.2713
2017-08-01,1.1241
2017-09-01,1.2436
2017-10-01,1.3816
2017-11-01,1.3299
2017-12-01,1.2781
2018-01-01,1.3931
2018-02-01,1.6034
2018-03-01,1.508
2018-04-01,1.5108
2018-05-01,1.5016
2018-06-01,1.4229
2018-07-01,1.3739
2018-08-01,1.3991
2018-09-01,1.5023
2018-10-01,1.5462
2018-11-01,1.4541
2018-12-01,1.3125
2019-01-01,1.3221
2019-02-01,1.239
2019-03-01,1.19
2019-04-01,1.1906
2019-05-01,1.13
2019-06-01,0.919
2019-07-01,0.8304
2019-08-01,0.5776
2019-09-01,0.5981
2019-10-01,0.6373
2019-11-01,0.765
2019-12-01,0.8308
2020-01-01,0.7235
2020-02-01,0.633
2020-03-01,0.4609
2020-04-01,0.3577
2020-05-01,0.2743
2020-06-01,0.278
2020-07-01,0.2094
2020-08-01,0.2717
2020-09-01,0.273
2020-10-01,0.3058
2020-11-01,0.3836
2020-12-01,0.3224
2021-01-01,0.3672
2021-02-01,0.6222
2021-03-01,0.8456
2021-04-01,0.8515
2021-05-01,0.9058
2021-06-01,0.8549
2021-07-01,0.6979
2021-08-01,0.644
2021-09-01,0.8023
2021-10-01,1.083
2021-11-01,0.9394
2021-12-01,0.8375
2022-01-01,1.2051
2022-02-01,1.4891
2022-03-01,1.5457
2022-04-01,1.8362
2022-05-01,1.9069
2022-06-01,2.3824
2022-07-01,2.1454
2022-08-01,2.3278
2022-09-01,3.5007
2022-10-01,4.1096
2022-11-01,3.4171
2022-12-01,3.5015
2023-01-01,3.5115
2023-02-01,3.5553
2023-03-01,3.5638
2023-04-01,3.6503
2023-05-01,3.9621
2023-06-01,4.3659
2023-07-01,4.4372
2023-08-01,4.5298
2023-09-01,4.4199
2023-10-01,4.5695
2023-11-01,4.2721
2023-12-01,3.8622
2024-01-01,3.9319
2024-02-01,4.123
2024-03-01,4.033
2024-04-01,4.2172
2024-05-01,4.2229
2024-06-01,4.1644
2024-07-01,4.1386
2024-08-01,3.9444
2024-09-01,3.9053
2024-10-01,4.1993
2024-11-01,4.4164
2024-12-01,4.4345
2025-01-01,4.6627
2025-02-01,4.5063
2025-03-01,4.6448
2025-04-01,4.5762
2025-05-01,4.6004
2025-06-01,4.5248
2025-07-01,4.5924
2025-08-01,4.6369
2025-09-01,4.6885
2025-10-01,4.5721
2025-11-01,4.4985
2025-12-01,4.4826
