Observation_Month,Initial_Value,Initial_Release_Date,Current_Value,Latest_Revision_Date
2015-01-01,234.677,2015-02-26,234.747,2020-02-11
2015-02-01,235.186,2015-03-24,235.342,2020-02-11
2015-03-01,235.74,2015-04-17,235.976,2020-02-11
2015-04-01,235.982,2015-05-22,236.222,2020-02-11
2015-05-01,237.031,2015-06-18,237.001,2020-02-11
2015-06-01,237.786,2015-07-17,237.657,2020-02-11
2015-07-01,238.099,2015-08-19,238.034,2020-02-11
2015-08-01,237.931,2015-09-16,238.033,2020-02-11
2015-09-01,237.566,2015-10-15,237.498,2020-02-11
2015-10-01,238.042,2015-11-17,237.733,2020-02-11
2015-11-01,238.111,2015-12-15,238.017,2020-02-11
2015-12-01,237.847,2016-01-20,237.761,2020-02-11
2016-01-01,238.107,2016-02-19,237.652,2021-02-08
2016-02-01,237.707,2016-03-16,237.336,2021-02-08
2016-03-01,237.92,2016-04-14,238.08,2021-02-08
2016-04-01,238.89,2016-05-17,238.992,2021-02-08
2016-05-01,239.41,2016-06-16,239.557,2021-02-08
2016-06-01,239.927,2016-07-15,240.222,2021-02-08
2016-07-01,239.828,2016-08-16,240.101,2021-02-08
2016-08-01,240.305,2016-09-16,240.545,2021-02-08
2016-09-01,241.002,2016-10-18,241.176,2021-02-08
2016-10-01,241.863,2016-11-17,241.741,2021-02-08
2016-11-01,242.348,2016-12-15,242.026,2021-02-08
2016-12-01,243.032,2017-01-18,242.637,2021-02-08
2017-01-01,244.158,2017-02-15,243.618,2022-02-08
2017-02-01,244.456,2017-03-15,244.006,2022-02-08
2017-03-01,243.752,2017-04-14,243.892,2022-02-08
2017-04-01,244.158,2017-05-12,244.193,2022-02-08
2017-05-01,243.846,2017-06-14,244.004,2022-02-08
2017-06-01,243.79,2017-07-14,244.163,2022-02-08
2017-07-01,244.048,2017-08-11,244.243,2022-02-08
2017-08-01,245.03,2017-09-14,245.183,2022-02-08
2017-09-01,246.373,2017-10-13,246.435,2022-02-08
2017-10-01,246.639,2017-11-15,246.626,2022-02-08
2017-11-01,247.592,2017-12-13,247.284,2022-02-08
2017-12-01,247.963,2018-01-12,247.805,2022-02-08
2018-01-01,249.245,2018-02-14,248.859,2023-02-10
2018-02-01,249.619,2018-03-13,249.529,2023-02-10
2018-03-01,249.462,2018-04-11,249.577,2023-02-10
2018-04-01,250.013,2018-05-10,250.227,2023-02-10
2018-05-01,250.535,2018-06-12,250.792,2023-02-10
2018-06-01,250.857,2018-07-12,251.018,2023-02-10
2018-07-01,251.286,2018-08-10,251.214,2023-02-10
2018-08-01,251.846,2018-09-13,251.663,2023-02-10
2018-09-01,251.994,2018-10-11,252.182,2023-02-10
2018-10-01,252.827,2018-11-14,252.772,2023-02-10
2018-11-01,252.876,2018-12-12,252.594,2023-02-10
2018-12-01,252.733,2019-01-11,252.767,2023-02-10
2019-01-01,252.673,2019-02-13,252.561,2024-02-09
2019-02-01,253.113,2019-03-12,253.319,2024-02-09
2019-03-01,254.148,2019-04-10,254.277,2024-02-09
2019-04-01,254.958,2019-05-10,255.233,2024-02-09
2019-05-01,255.155,2019-06-12,255.296,2024-02-09
2019-06-01,255.305,2019-07-11,255.213,2024-02-09
2019-07-01,256.161,2019-08-13,255.802,2024-02-09
2019-08-01,256.3,2019-09-12,256.036,2024-02-09
2019-09-01,256.358,2019-10-10,256.43,2024-02-09
2019-10-01,257.271,2019-11-13,257.155,2024-02-09
2019-11-01,257.936,2019-12-11,257.879,2024-02-09
2019-12-01,258.501,2020-01-14,258.63,2024-02-09
2020-01-01,258.82,2020-02-13,259.127,2025-02-12
2020-02-01,259.05,2020-03-11,259.25,2025-02-12
2020-03-01,257.953,2020-04-10,258.076,2025-02-12
2020-04-01,255.902,2020-05-12,256.032,2025-02-12
2020-05-01,255.768,2020-06-10,255.802,2025-02-12
2020-06-01,257.214,2020-07-14,257.042,2025-02-12
2020-07-01,258.723,2020-08-12,258.352,2025-02-12
2020-08-01,259.681,2020-09-11,259.316,2025-02-12
2020-09-01,260.209,2020-10-13,259.997,2025-02-12
2020-10-01,260.325,2020-11-12,260.319,2025-02-12
2020-11-01,260.817,2020-12-10,260.911,2025-02-12
2020-12-01,261.775,2021-01-13,262.045,2025-02-12
2021-01-01,262.231,2021-02-10,262.687,2026-02-13
2021-02-01,263.161,2021-03-10,263.579,2026-02-13
2021-03-01,264.793,2021-04-13,264.961,2026-02-13
2021-04-01,266.832,2021-05-12,266.614,2026-02-13
2021-05-01,268.551,2021-06-10,268.383,2026-02-13
2021-06-01,270.981,2021-07-13,270.654,2026-02-13
2021-07-01,272.265,2021-08-11,271.903,2026-02-13
2021-08-01,273.012,2021-09-14,272.676,2026-02-13
2021-09-01,274.138,2021-10-13,273.91,2026-02-13
2021-10-01,276.724,2021-11-10,276.55,2026-02-13
2021-11-01,278.88,2021-12-10,278.919,2026-02-13
2021-12-01,280.192,2022-01-12,280.845,2026-02-13
2022-01-01,281.933,2022-02-10,282.543,2026-02-13
2022-02-01,284.182,2022-03-10,284.5,2026-02-13
2022-03-01,287.708,2022-04-12,287.674,2026-02-13
2022-04-01,288.663,2022-05-11,288.561,2026-02-13
2022-05-01,291.474,2022-06-10,291.298,2026-02-13
2022-06-01,295.328,2022-07-13,294.957,2026-02-13
2022-07-01,295.271,2022-08-10,294.913,2026-02-13
2022-08-01,295.62,2022-09-13,295.097,2026-02-13
2022-09-01,296.761,2022-10-13,296.349,2026-02-13
2022-10-01,298.062,2022-11-10,298.007,2026-02-13
2022-11-01,298.349,2022-12-13,298.786,2026-02-13
2022-12-01,298.112,2023-01-12,298.832,2026-02-13
2023-01-01,300.536,2023-02-14,300.42,2026-02-13
2023-02-01,301.648,2023-03-14,301.45,2026-02-13
2023-03-01,301.808,2023-04-12,301.821,2026-02-13
2023-04-01,302.918,2023-05-10,302.845,2026-02-13
2023-05-01,303.294,2023-06-13,303.334,2026-02-13
2023-06-01,303.841,2023-07-12,304.014,2026-02-13
2023-07-01,304.348,2023-08-10,304.609,2026-02-13
2023-08-01,306.269,2023-09-13,306.082,2026-02-13
2023-09-01,307.481,2023-10-12,307.276,2026-02-13
2023-10-01,307.619,2023-11-14,307.696,2026-02-13
2023-11-01,307.917,2023-12-12,308.148,2026-02-13
2023-12-01,308.85,2024-01-11,308.741,2026-02-13
2024-01-01,309.685,2024-02-13,309.698,2026-02-13
2024-02-01,311.054,2024-03-12,310.967,2026-02-13
2024-03-01,312.23,2024-04-10,312.345,2026-02-13
2024-04-01,313.207,2024-05-15,313.023,2026-02-13
2024-05-01,313.225,2024-06-12,313.175,2026-02-13
2024-06-01,313.049,2024-07-11,313.044,2026-02-13
2024-07-01,313.534,2024-08-14,313.569,2026-02-13
2024-08-01,314.121,2024-09-11,314.062,2026-02-13
2024-09-01,314.686,2024-10-10,314.732,2026-02-13
2024-10-01,315.454,2024-11-13,315.631,2026-02-13
2024-11-01,316.441,2024-12-11,316.528,2026-02-13
2024-12-01,317.685,2025-01-15,317.604,2026-02-13
2025-01-01,319.086,2025-02-12,318.961,2026-02-13
2025-02-01,319.775,2025-03-12,319.679,2026-02-13
2025-03-01,319.615,2025-04-10,319.785,2026-02-13
2025-04-01,320.321,2025-05-13,320.302,2026-02-13
2025-05-01,320.58,2025-06-11,320.62,2026-02-13
2025-06-01,321.5,2025-07-15,321.435,2026-02-13
2025-07-01,322.132,2025-08-12,322.169,2026-02-13
2025-08-01,323.364,2025-09-11,323.291,2026-02-13
2025-09-01,324.368,2025-10-24,324.245,2026-02-13
2025-10-01,,2025-12-18,,2025-12-18
2025-11-01,325.031,2025-12-18,325.063,2026-02-13
2025-12-01,326.03,2026-01-13,326.031,2026-02-13
2026-01-01,326.588,2026-02-13,326.588,2026-02-13
2026-02-01,327.46,2026-03-11,327.46,2026-03-11
2026-03-01,330.293,2026-04-10,330.293,2026-04-10
