Observation_Month,Initial_Value,Initial_Release_Date,Current_Value,Latest_Revision_Date
2015-01-01,5.7,2015-02-06,5.7,2015-02-06
2015-02-01,5.5,2015-03-06,5.5,2015-03-06
2015-03-01,5.5,2015-04-03,5.4,2019-01-04
2015-04-01,5.4,2015-05-08,5.4,2015-05-08
2015-05-01,5.5,2015-06-05,5.6,2019-01-04
2015-06-01,5.3,2015-07-02,5.3,2015-07-02
2015-07-01,5.3,2015-08-07,5.2,2017-01-06
2015-08-01,5.1,2015-09-04,5.1,2015-09-04
2015-09-01,5.1,2015-10-02,5.0,2017-01-06
2015-10-01,5.0,2015-11-06,5.0,2015-11-06
2015-11-01,5.0,2015-12-04,5.1,2019-01-04
2015-12-01,5.0,2016-01-08,5.0,2016-01-08
2016-01-01,4.9,2016-02-05,4.8,2021-01-08
2016-02-01,4.9,2016-03-04,4.9,2016-03-04
2016-03-01,5.0,2016-04-01,5.0,2016-04-01
2016-04-01,5.0,2016-05-06,5.1,2021-01-08
2016-05-01,4.7,2016-06-03,4.8,2019-01-04
2016-06-01,4.9,2016-07-08,4.9,2016-07-08
2016-07-01,4.9,2016-08-05,4.8,2019-01-04
2016-08-01,4.9,2016-09-02,4.9,2016-09-02
2016-09-01,5.0,2016-10-07,5.0,2018-01-05
2016-10-01,4.9,2016-11-04,4.9,2018-01-05
2016-11-01,4.6,2016-12-02,4.7,2019-01-04
2016-12-01,4.7,2017-01-06,4.7,2017-01-06
2017-01-01,4.8,2017-02-03,4.7,2019-01-04
2017-02-01,4.7,2017-03-10,4.6,2020-01-10
2017-03-01,4.5,2017-04-07,4.4,2019-01-04
2017-04-01,4.4,2017-05-05,4.4,2022-01-07
2017-05-01,4.3,2017-06-02,4.4,2019-01-04
2017-06-01,4.4,2017-07-07,4.3,2018-01-05
2017-07-01,4.3,2017-08-04,4.3,2017-08-04
2017-08-01,4.4,2017-09-01,4.4,2017-09-01
2017-09-01,4.2,2017-10-06,4.3,2022-01-07
2017-10-01,4.1,2017-11-03,4.2,2022-01-07
2017-11-01,4.1,2017-12-08,4.2,2019-01-04
2017-12-01,4.1,2018-01-05,4.1,2018-01-05
2018-01-01,4.1,2018-02-02,4.0,2021-01-08
2018-02-01,4.1,2018-03-09,4.1,2018-03-09
2018-03-01,4.1,2018-04-06,4.0,2019-01-04
