doc_id,date,doc_type,speaker,speaker_role,turn_idx,turn_type,text,sent_idx
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,3,answer,"Well, as you know, Jennifer, we don't do real time updating of our inflation forecast.",0
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,3,answer,"The next one's due in the middle of May, I think.",1
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,3,answer,"Yeah, we get three months to think about these questions, as Ben says.",2
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,3,answer,"Look, I think what is safest to say is that, using the curves that we had at the time when we conducted the forecast, which is the time at which we took our policy decision, last week, that you did have that slight overshoot.",3
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,5,answer,"Look - markets will - I think - let me go back to something I said at my opening remarks, which is that what markets have been doing since our last forecast in November is they adjusted their expectations around the pace and degree of rate increases, in an environment of some additional external headwinds particularly to growth.",0
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,5,answer,And I would suggest that they did that because the market understands in general what the MPC is trying to do.,2
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,5,answer,What we have with today's Report and accompanying letter is as much clarity as we can give about what our objective is.,3
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,5,answer,"So we're being very clear that we think that we should be returning inflation - given the nature of the shocks that have hit the economy, and given that most of the shocks that have affected inflation have been one-off price level shocks - these big commodity price shocks, we've been clear that we're going to look through those.",4
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,5,answer,"And given the absence of a trade-off between output or employment and inflation, the absence of that trade-off, that we should return inflation to target as quickly as possible.",5
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,5,answer,"And our judgement is, given all that, within the next two years.",6
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,5,answer,"The market can take that information, can take other developments, and make its own judgement about the exact pace of those.",7
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,5,answer,"And we won't provide a real time running commentary on that, except I just - I think I should underscore the point that what is consistent with our objective, our stated objective of returning inflation within the next two years, it is - it does require some limited and gradual increases in interest rates over the forecast horizon.",8
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,7,answer,"Well, I think it's pretty clear, in terms of our central expectation, that the most likely next move in monetary policy is an increase in interest rates.",0
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,7,answer,"As we've been saying for some time, we expect those adjustments to be limited and at a gradual pace, but the message is clear: in order to achieve our objective, we're going to look through this one- time adjustment - which in the end is good news, by and large, for British households, recognising there are some distributional impacts across the United Kingdom, but it's good news for British households.",1
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,7,answer,And we're going to look through that and ensure that inflation comes back to target in a timely fashion.,2
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,7,answer,"But that is consistent with some rate increases over the forecast horizon, in our judgement.",3
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,9,answer,"Well, speaking from an inflation perspective, one of the drags on inflation at present has been the impact of past depreciation of sterling, not just against the Euro but against a host of other currencies - Yen and others - particularly emerging market currencies.",0
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,9,answer,"It's not the most important factor, but it's also helping dampen inflation right now.",2
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,9,answer,"But, as I said before, our judgement is that, given all those factors, given the shocks that have hit the UK at present, we can chart a course which delivers inflation back to target within an appropriate horizon.",4
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,11,answer,"Well, it's an important question, and we would distinguish what's happening at present and what's likely to happen over the course of the year from a - as you say - a bad deflation outcome.",1
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,11,answer,"This is - we've had a dramatic change in a series of commodity prices, most notable oil - the biggest move - the third biggest move in the last half-century.",2
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,11,answer,That is different than persistent and widespread falls in prices.,4
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,11,answer,"So one of the things that we look at, and will continue to look at, is all the components of the CPI - which of them are falling?",5
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,11,answer,"And in the letter, actually, we draw attention to this.",7
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,11,answer,It's - I think the figure precisely is about 68% of the components are rising - the components of CPI are rising.,8
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,"But they are rising, because obviously oil and food are rising - I'm giving you the components that are actually increasing within the CPI.",0
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,"So in other words, we're seeing more concentrated falls in prices.",2
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,So there's nothing particularly unusual about the breadth of the change in prices.,3
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,So the first element of your question is - what are we going to look at?,5
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,"Well, we'll continue to look at the breadth of changes in prices; look at the persistence there, but obviously monitor inflation expectations very closely.",6
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,"And we do; as detailed in the Report, inflation expectations are consistent with the 2% target.",7
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,"We list all the ones that we look at - more than half are in line with historic averages, but again, we will watch that - watch that closely.",8
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,"We'll also watch developments on the wage front as well, to the extent that wage patterns start to be affected.",9
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,"I think the important point, which is entirely from a contingency or risk management perspective, is to underscore that, if we were in a situation (which we are not in at the moment), but if we ever were in a situation where we needed to provide additional stimulus, we have many options - we have many options to provide that stimulus, and the effectiveness of the stimulus is reinforced by the relative health of the financial system as well.",10
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,"But just to bring it back to where we are today, we see these one-off changes in prices.",11
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,Helps support real incomes - we expect the strongest real income growth in over a decade actually.,13
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,13,answer,"And as a consequence of that and other factors, our view is that the most likely moves on monetary policy are rate increases.",14
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,15,answer,"The issues in that speech - the true answer is yes - and the issues in that speech around - let me generalise it first and I'll get to the specifics, which is the importance of building greater private and public risk sharing in the eurozone.",0
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,15,answer,"So banking union, capital markets union, absolutely essential, but also some element of public risk sharing related to fiscal arrangements, just as we have here in the United Kingdom - as virtually any currency union has.",1
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,15,answer,Those issues were publicly aired in the report of the four presidents a few years ago.,3
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,15,answer,"And I have had discussions with my counterparts both prior to the speech and subsequent to the speech, both in central banks and ministries, on these issues.",4
