doc_id,date,doc_type,speaker,speaker_role,turn_idx,turn_type,chunk_id,chunk_uid,start_sent_idx,end_sent_idx,n_sentences,text
BoE_201502_opening,20150212,opening,Governor,governor,0,opening,0,BoE_201502_opening_0,0,58,53,"1 INFLATION REPORT PRESS CONFERENCE Thursday 12th February 2015 Opening Remarks by the Governor Today's Inflation Report headlines are relatively straightforward. Inflation is at its lowest level since the introduction of Inflation Targeting two decades ago. It will likely fall further, potentially turn negative in the spring, and be close to zero for the remainder of the year. As a consequence, I have written the first open letter from a Governor to the Chancellor explaining why inflation is so low and what the MPC is going to do about it. And I will likely write a few more before the year is out. But as unusual as that is, it arguably isn't the main story. The headlines today mask stronger underlying dynamics which will determine UK output and inflation tomorrow. Growth in the global economy was a touch stronger last year than we had expected in November. And the outlook for the UK's trading partners is virtually unchanged since our last forecast. Despite renewed headwinds from geopolitics and deleveraging, modest global growth is expected to continue, reflecting three factors. As these falls are more likely to reflect changes to the actual and potential supply of crude than reductions in demand for it, this development is unambiguously positive for the global economy. Second, central banks around the world have provided additional stimulus. Most notably, recent ECB actions should provide much needed support to activity in our largest trading partner. Third, partly as a consequence, global real interest rates have fallen further. And, notwithstanding increases in market volatility, financial conditions have improved on balance. In the United Kingdom, output growth remains solid and domestic demand growth robust. Unemployment has continued to fall, reaching its lowest level for more than six years, with half a million new jobs created in the past year. The margin of slack in the economy has narrowed further as expected. And as the labour market has tightened, growth rates of wages and unit labour costs are beginning to pick up. 2 The combination of rising wages and falling energy and food prices will help household finances and boost the growth of real take home pay this year to its fastest rate in a decade. As demonstrated by the recent Bank of England stress tests, the core of our financial system is increasingly resilient and functioning well. Access to credit continues to improve and many borrowing rates are at or near historical lows. The result of these underlying dynamics is that today's projection for GDP growth is stronger than in November. With that context, let me now turn to the open letter, starting with why is inflation so low. The MPC estimates that two-thirds of the gap between the current inflation rate and the target is explained by sharp falls in food and energy prices. As I have explained, this is generally good news for British households. Commodity prices do not, however, wholly explain why inflation is so low. The balance of the gap from target is the result of subdued generalised inflationary pressures. This reflects a long period in which unemployment has been high and wage growth muted as well as the remaining degree of slack in the economy, currently judged to be in the region of ½ per cent. The MPC's job is to provide clarity on the horizon over which it is aiming to bring inflation back to the target and then take the necessary actions to achieve it. We care as much about inflation below target as above. Our remit is clear that the inflation target applies at all times but it recognises that there will be occasions when inflation will deviate from the target. It takes time for monetary policy to affect the economy - its peak effect is generally estimated between 18 and 24 months - so the MPC can do little to offset the effects of recent falls in energy and food prices on headline inflation. With the effects of these large, one-off falls in prices likely to dissipate in around a year, we will look through them. With inflation below target and unemployment above its long-run sustainable rate, there is no immediate trade-off between returning inflation to target and supporting economic activity. In fact, to return inflation to target it is necessary to eliminate the remaining degree of economic slack. This makes it appropriate to return inflation to the target as quickly as possible after the effects of energy and food price movements have abated. In the MPC's judgment, the appropriate time horizon to do that is within the next two years. 3 This can be accomplished by adjusting the pace and degree of Bank Rate increases in coming years. Indeed, reflecting a broad understanding of our reaction function and the forces affecting inflation in the UK, market expectations of Bank Rate increases have fallen notably since November. The inflation forecast in today's Report shows inflation coming back to the target within two years and then rising a little further. That forecast assumes Bank Rate follows the path implied by market yields: gradual and limited increases over the forecast horizon. That a gently rising path of Bank Rate delivers inflation to the target reflects the underlying dynamics of the economy. With sustained growth, supported by robust real income growth and a subdued, but steady, global recovery, unemployment continues to fall to its pre-crisis rate of around 5%. The remaining slack in the economy is eliminated by the middle of the forecast period. On the upside, the MPC is alert to the risk that lower oil prices provide a greater-than- assumed stimulus to real incomes and to demand, or that slack in the economy is absorbed faster than in the central case. If these risks were to materialise, it could be appropriate for Bank Rate to rise more quickly than implied by current market yields. On the downside, the MPC is vigilant to the risks of disappointing global growth or any signs that low inflation begins to affect inflation expectations and wage growth, and therefore becomes self-reinforcing. Were these downside risks to materialise, the Committee could adjust the pace and degree of Bank Rate increases, expand the Asset Purchase Facility, or cut Bank Rate further towards zero. The MPC judges the risks to today's forecast to be broadly balanced. Whatever transpires, the Bank has the means, the will and the responsibility to set monetary policy to achieve the target over an appropriate horizon. British workers and employers can count on that as they make important decisions about wages, hiring and investment. The prospect of limited and gradual rate increases may not make the headlines, but they will likely be consistent with the continued normalisation of the UK economy and with meeting the 2% inflation target."
BoE_201502_transcript,20150212,transcript,Mark Carney,governor,1,opening,0,BoE_201502_transcript_0,0,16,14,"Well, recognising that this is a hypothetical question, you know, would a change in Greece's position have an impact on the forecast? Would it have the same impact on the UK economy as it would have had in 2012? They include differences to the institutional arrangements in the euro area, both facilities at the level of the euro area, but obviously importantly facilities announced by the ECB - I'm speaking specifically of OMTs, and of course coupled with the demonstrated willingness of the ECB to use its full toolkit, as appropriate, to meet its remit. There are also differences since 2012 in terms of the track records of the various economies - so-called peripheral economies - within the eurozone. And those differences in track records are certainly reflected in market yields. You've seen yields on 10-year bonds of Ireland, Italy, Spain, Portugal, etc., tighten over the course of the last several months as these issues have risen up the focus of markets, at the same time that obviously Greek spreads have moved further out. And the third reason why things were different is that the scale of private sector exposure to Greece, both within the euro area and certainly from the UK financial system, has gone down. And on that last point, just to be clear, I mean, one of the advantages of the structure of the Bank is that we're obviously the prudential supervisor as well as the monetary authority. And so we have direct line of sight into the exposures of our largest financial institutions to Greece. And I can tell you that the level of that exposure is less than 2% of common equity, and it has been coming down. So I'm speaking specifically about the UK banking system here. So for all those reasons there's a different order of magnitude. But it would have an impact, and we would have to assess that impact at the time. And, as I said in my opening comments, we do have the means and the will, and obviously the responsibility, to take whatever action is necessary in any eventuality, in order to bring inflation back to target within a reasonable time horizon."
BoE_201505_opening,20150513,opening,Governor,governor,0,opening,0,BoE_201505_opening_0,0,17,18,"1 INFLATION REPORT PRESS CONFERENCE Wednesday 13th May 2015 Opening remarks by the Governor Sometimes predictions do come true. For example, as the MPC predicted three months ago, today I have had to write the second in what is likely to be a sequence of open letters to the Chancellor. That's because, as expected, inflation fell to zero in March, two percentage points below the target and the lowest since official CPI data began. As was the case in February, the single most important reason for below-target inflation has been the sharp drop in energy prices. In March, oil was around 40% cheaper than in the middle of last year and the price of petrol at the pump has fallen by more than a tenth. Food prices have also dropped, and sterling's appreciation over the past two years has continued to depress import prices. Taken together, these factors explain around three quarters of the shortfall in inflation from target, with the remainder reflecting subdued growth in domestic costs, particularly wages. The MPC expects the impact of past falls in commodity prices to be relatively short lived and will therefore look through them in setting policy. Although it could temporarily turn negative in the near term, inflation is expected to pick up notably towards the end of the year as the past falls in prices drop out of the annual comparison. Recent developments support the MPC's view that a temporary period of falling prices, driven by a few components of the CPI, should not be mistaken for the potentially damaging process of widespread and persistent deflation. The proportion of the CPI's components showing positive inflation is much the same as it was during the decade prior to the crisis. More fundamentally, the economy is growing, unemployment is falling, earnings growth is improving and there is no evidence of household spending being delayed. Given that inflation expectations remain broadly consistent with the 2% target, the more enduring influences on UK inflation will be the evolution of domestic costs, particularly wages relative to productivity, and the likely persistent drag from the strength of sterling, which has risen around 6% in the past year and 18% since its trough. These influences are currently weighing on core inflation, which fell to 1 per cent in March, and is expected to remain subdued for most of the year. The MPC's strategy for returning inflation to target remains the same as in February: namely, to set policy to support the rise in domestic costs needed to return inflation to target within two years. 2 The appropriate path for Bank Rate will hinge crucially on the outlook for supply. The composition of supply growth is expected to shift notably over the forecast horizon as slack in the labour market is eliminated and productivity finally begins to pick up. After a comprehensive review, the MPC judges that current slack in the economy is around ½ per cent of GDP."
BoE_201505_opening,20150513,opening,Governor,governor,0,opening,1,BoE_201505_opening_1,18,54,32,"The MPC expects that remaining spare capacity to be absorbed within the next year. In recent years labour supply has expanded significantly owing to higher participation rates among older workers, a greater willingness to work longer hours and strong population growth, partly driven by higher net migration. These positive labour supply shocks have contained wage growth in the face of robust employment growth. Wages have grown by around 2% in the past year - less than half the average rate before the global financial crisis - and a key risk is that these subdued growth rates continue. Such strong growth in labour supply is unlikely to be sustained. Going forward, growth in the UK economy's potential will increasingly depend on productivity. In the medium term, productivity growth - doing more with less - is the key determinant of income growth. Productivity, though, is not something that monetary policy determines, and among the many uncertainties we face, the timing and extent of any prospective pick-up in productivity growth remains our most difficult judgement. One insight from our review of supply is that over the past year, some of the weakness in measured productivity reflects so-called compositional effects: there has been disproportionate growth in relatively low productivity jobs, partly reversing what occurred when unemployment rose sharply. And in light of that, we have become even more conservative in our forecast for renewed productivity growth. Productivity is projected to grow only modestly in the year ahead, before returning towards, but remaining below, past average growth rates. They include the lessening of compositional effects, a pick-up in the reallocation of resources to new and more dynamic firms, and the effects of the investment recovery coming through. On the demand side, the expansion is set to reaccelerate following a slightly softer than expected first quarter. Household spending should continue to be supported this year by the boost to real take-home pay from lower food and energy prices. Over the 3 balance of the forecast, wage growth is expected to accelerate as compositional effects fade and the pick-up in productivity supports higher labour compensation. Higher demand, accommodative financial conditions and emerging capacity constraints should encourage continued investment growth outside the extraction sector. The MPC expects the global economy to expand at a steady not spectacular rate, with the principal risks to growth rotating from advanced to emerging economies. The most significant development in recent months has been the increased momentum in our main trading partner, the euro area. European activity should be supported by the ECB's Quantitative Easing, which the MPC judges to be net positive for UK growth. ECB action, improvements in euro area fundamentals, and very limited UK exposure, mean that any intensification of the Greek crisis would likely have only a modest downward impact on UK GDP. Overall, despite a moderately weaker outlook for demand growth relative to our February Inflation Report, a similarly weaker outlook for supply means we continue to expect a sufficient firming in inflationary pressures to return to target within two years. Beyond that, and conditional on the gently rising path for Bank Rate implied by market yields, inflation is expected to rise a little above the target. With the closing of the output gap in sight, the question of the level of the equilibrium interest rate - the rate required to keep the economy operating at capacity and inflation at the target - comes into sharper focus. Perhaps the most important legacies of the financial crisis are the persistent headwinds which continue to weigh on the UK economy from weaker global demand, sustained fiscal consolidation, ongoing private deleveraging and, with time, higher financial intermediation costs. The MPC has long expected that these headwinds will likely merit not only a more gradual rate of increase in Bank Rate than in previous cycles, but also require levels of Bank Rate to remain below average historical levels for some time to come. At our most recent meeting the MPC noted that it was uncertain why the yield curve had flattened further over the past year beyond our three-year forecast horizon. In this context, the direction of recent moves in advanced economy bond markets are not particularly surprising. Last week, we were reminded of the difficulties in forecasting the outcomes of complex, interacting systems. Today, the MPC is setting out our latest best collective judgement for the outlook for the economy. As illustrated by the fan charts around it and my comments this morning, this forecast is subject to considerable uncertainties and will inevitably be buffeted by domestic and international shocks. 4 That's why the MPC votes frequently so that we can respond to events and act to deliver the price stability upon which British households and firms depend. This provides the best environment for the ingenuity and creativity of the British people to flourish and drive the sustained rise in living standards to which we all aspire."
BoE_201505_transcript,20150513,transcript,Mark Carney,governor,1,opening,0,BoE_201505_transcript_0,0,9,10,"Well, Richard, we forecast many things, but we don't forecast political outcomes; we take them as they come and then we adjust to the consequences of those decisions. So if the people - whether it's the people of Scotland, the people of the United Kingdom, people of Greece, etc. The most important stance of policy in general, for monetary policy, over the monetary policy horizon, is the stance of fiscal policy. We take the stance of fiscal policy as given, and then we optimise monetary policy around that. This forecast is consistent with the most recent budget of the last government. As I indicated in my comments, there is persistent fiscal drag in this forecast, just as there has been over the last several years. That's one of the headwinds that weighs on the economy. It's one of the reasons why the path of Bank Rate, when it does rise, is likely to move at a gradual pace and to a limited extent. The other point I would make in terms of overall policy is that there are a host of policies and decisions, both within the United Kingdom and abroad, that influence the productivity of this economy. And what you start to see in this forecast is the constraints of slower productivity, slower supply growth, on the pace of the expansion of the United Kingdom economy."
BoE_201508_opening,20150806,opening,Governor,governor,0,opening,0,BoE_201508_opening_0,0,17,18,"INFLATION REPORT PRESS CONFERENCE Thursday 6th August 2015 Opening remarks by the Governor Today marks a new approach to monetary policy communications at the Bank of England. By releasing simultaneously our Inflation Report together with the Minutes of the Committee's deliberations, we are ending the drip feed of information around monetary policy decisions. Instead, we are setting out our assessment of recent economic developments and future prospects in a comprehensive fashion. One decision; with the forecast and all the supporting analysis released simultaneously. At this press conference we will, as usual, present the MPC's best collective judgement and speak for the Committee as a whole. At its meeting yesterday, the MPC voted by a majority of 8-1 to maintain Bank Rate at 0.5%. The Committee voted unanimously to maintain the stock of purchased assets financed by the issuance of central bank reserves at £375 billion. And it reaffirmed its expectation that when Bank Rate rises occur they can be expected to be limited and gradual. The most striking development in the UK in the past year has been the fall in CPI inflation, which edged back down to zero in June. As set out in my latest in an expected sequence of open letters to the Chancellor, around three quarters of the deviation of inflation from the 2% target reflects unusually low contributions from energy, food, and other imported goods prices. The remaining part of the undershoot reflects the past weakness of domestic cost growth, and wages in particular. The combined weakness in domestic costs and imported goods prices is evident in subdued core inflation, which is currently around 1%. With some underutilised resources remaining in the economy and with inflation below target, the Committee is setting monetary policy to ensure growth is sufficient to absorb the remaining economic slack and to generate the rise in domestic costs needed to return inflation to the target within two years. Conditional upon Bank Rate following the gently rising path implied by market yields, the Committee judges that this objective will likely be achieved. Demand outlook The Committee projects UK-weighted world demand to expand at a moderate pace - about ¾ of a percentage point below historic averages in this year. The composition of that growth is rotating from emerging to advanced economies. Despite steady global growth, UK exports will still be held back by the strength of sterling. Risks to global growth are judged to be skewed moderately to the downside reflecting risks to activity in the euro area and China."
BoE_201508_opening,20150806,opening,Governor,governor,0,opening,1,BoE_201508_opening_1,18,48,30,"At home, private domestic demand growth is robust and expected to remain so. This year, household spending has been supported by the boost to real incomes from lower food and energy prices. More recently, wage growth has begun to pick up as the labour market has tightened and productivity has strengthened. Consumer confidence remains its highest for over a decade, and credit conditions have continued to improve, with historically low mortgage rates boosting activity in the housing market. Business investment has made a substantial contribution to growth in recent years. Surveys suggest this will continue, thereby helping to return productivity growth towards historical averages. Inflation outlook The near-term outlook for inflation is muted and the falls in energy prices over the past few months will continue to bear down on inflation at least until the middle of next year. Nonetheless, a range of measures suggest that medium-term inflation expectations remain well anchored. There is little evidence in either wage settlements or spending patterns of any deflationary mind set among businesses and households. Sterling has appreciated by 3½% since May and 20% since its trough in March 2013. The drag on import prices from this appreciation will continue to push down on inflation for some time to come, posing a downside risk to its near-term path in particular. Set against that, the degree of slack in the economy has diminished substantially over the past two and a half years. The unemployment rate has fallen more than 2 percentage points since the middle of 2013, and the ratio of job vacancies to unemployment has returned from well below to around its pre- crisis average. Robust private domestic demand is expected to be sufficient to eliminate the remaining margin of spare capacity-judged to be around ½% of GDP-over the next year or so, despite the continuing fiscal consolidation and modest global growth. The closing of the output gap, in turn, should generate the rise in domestic costs necessary to counterbalance the drag on price pressures from sterling, and so return inflation to the target in the medium term. Policy outlook The MPC's projections are conditioned on Bank Rate following the gently rising path implied by market yields. Under this assumption, demand growth is expected to be sufficient to return inflation to the target within two years. Inflation then moves slightly above the target in the third year of the forecast period as sustained growth leads to a degree of excess demand. Underlying those projections are significant judgements in a number of areas, as set out in the Report. These include the degree to which risks to global growth are contained, the prospects for private domestic demand, the outlook for wage and productivity growth, and the extent to which the external factors currently weighing on inflation dissipate. In any of these areas, developments might easily turn out differently than assumed with implications for the outlook for growth and inflation, and therefore for the appropriate stance of monetary policy. The Committee will continue to monitor closely the incoming data in tracking these key judgements and will adjust monetary policy as appropriate in order to meet the 2% target in the medium term. As the UK expansion progresses, speculation about the precise timing of the first move in Bank Rate is increasing. This is understandable and is another welcome sign of the economy returning to normal. The likely timing of the first Bank rate increase is drawing closer. However, the exact timing of the first move cannot be predicted in advance; it will be the product of economic developments and prospects. The MPC will monitor developments relative to the forecast in particular wage growth, productivity, core inflation, import prices and risks to the international environment. The path of rates is much more important than the precise timing of the first increase. Given the likely persistence of the headwinds facing the economy the MPC expects Bank Rate increases, when they come, to be gradual, and to be limited to a level below past averages. By acting in this manner, the MPC can secure the expansion and build on the hard-won gains of recent years."
BoE_201508_transcript,20150806,transcript,Mark Carney,governor,1,opening,0,BoE_201508_transcript_0,1,11,10,"First, the near-term outlook for inflation is muted, as I said, and it wouldn't be surprising if we have another month or two of negative inflation, given the very substantial moves in oil prices and the changes to some of the utility prices as well. We've seen big moves in oil, big moves in other commodities, but also some changes to utility prices. It makes a real difference to households in terms of their disposable income. But they're one-off effects, so we put them into our near-term forecast. They won't be around - those effects in inflation won't be around in the 18 to 24 month horizon over which we can influence the rate of inflation. So our expectation is that the rate of inflation is going to pick up, and the issue for the MPC is to ensure that it picks up in a sustainable manner - that it first gets back to target in a timely fashion (we say within two years). But we don't want it just to get back to target in order to shoot through the target. We want it to get back to target and, all things being equal, to keep it at the target of 2%. So it will be consistent, in our judgement - our best collective judgement, in order to achieve that, it will be consistent with rate increases - to a limited and gradual extent, but also rate increases the timing of which, in our judgement, has moved closer than the time that was in May. Because this is not just about inflation, as you know, over the course of the next few months, but inflation for the medium term, so people don't have to worry about inflation, so people can enjoy the dividend, if you will, of lower petrol prices, lower food prices today, without worrying about a payback in the medium term."
BoE_201511_opening,20151105,opening,Governor,governor,0,opening,0,BoE_201511_opening_0,0,20,17,"INFLATION REPORT PRESS CONFERENCE Thursday 5th November 2015 Opening Remarks by the Governor Remember, remember, the fifth of November. I have written another open letter to the Chancellor explaining why and what we intend to do about it. The MPC has voted again by a majority of 8-1 to maintain Bank Rate at 0.5% and by 9-0 to maintain the stock of purchased assets at £375 billion. And once again, as it has since February of last year, we have reaffirmed our expectation that, when Bank Rate rises occur, they can be expected to be limited and gradual. More fundamentally, monetary policy must continue to balance two fundamental forces - domestic strength and foreign weakness - in order to return inflation to target in a sustainable manner. So, despite significant market volatility at times, developments since August have left our broad narrative intact. However, recent events have also highlighted some nuances around this story. Let me begin with the global picture, where the most important developments lie. 2 Global outlook The outlook for global growth has weakened since August. Many emerging market economies have slowed markedly this year, and the Committee has downgraded its assessment of their medium-term growth prospects. While growth in advanced economies has continued and broadened, particularly in the euro area, the Committee nonetheless expects the overall pace of UK-weighted global growth to be more modest than had been expected in August. There remain downside risks to our global outlook, including a more abrupt slowdown in China as authorities attempt to rebalance demand, and in emerging economies more broadly, given high levels of debt and vulnerability to capital outflows. A crystallisation of these risks would slow UK growth - both through trade channels and through the effects on domestic spending of lower asset prices and depressed sentiment. Reflecting concerns about the global outlook, risky asset prices have fallen since August, and there have also been sizeable declines in the yields on safe assets. In part, that reflects genuinely lower expectations for the future path of Bank Rate. But in part it also likely reflects a greater preference among investors to hold safe assets, hedging the possibility of more extreme outcomes. Domestic outlook In contrast to the global picture, private domestic demand remains resilient, despite ongoing fiscal consolidation."
BoE_201511_opening,20151105,opening,Governor,governor,0,opening,1,BoE_201511_opening_1,21,39,18,"Consumer confidence is firm, real income growth is 3 expected to be the strongest since the crisis, and firms' investment intentions remain robust. Although it has moderated recently to around trend rates, economic growth is projected to pick up a little towards the middle of next year as a tighter labour market and stronger productivity support real incomes and consumption. Accommodative credit conditions are expected to encourage strong investment and a pick-up in the housing market. As usual, there are risks around the expected path for domestic activity. To the downside, domestic demand could grow less strongly if households and firms build precautionary savings in the light of greater global uncertainty. To the upside, firms' investment spending could grow more quickly given the shortfall of capital spending during the crisis, or household consumption could grow even more rapidly given supportive borrowing rates. Taken together, the Committee judges the risks to domestic demand to be broadly balanced. Inflation outlook The outlook for inflation reflects the balance between persistent drags from factors such as sterling and world export prices, and prospective further increases in domestic cost growth. Those external factors are dominant in the September CPI data, in which inflation stood at -0.1%, slightly over two percentage points below the inflation target. As set out in my letter to the Chancellor published today alongside our Report, around four- 4 fifths of the deviation from the target reflects falls in energy, food and other imported goods prices, with the remainder reflecting subdued domestic cost growth. The combined weakness in domestic costs and imported goods prices is evident in subdued measures of core inflation, which at around 1%, are rising at similar rates as at the time of our August Report. These include the effects of sterling's past appreciation and foreign disinflation. The prospects for inflation reflect the balance of the drag from these persistent factors with prospective further increases in domestic cost growth. The unemployment rate has fallen by three percentage points since its peak, and now stands at around 5 ½ per cent. Robust private domestic demand is expected to produce sufficient momentum to eliminate the margin of spare capacity that remains over the next year. Domestic cost pressures are expected to build as a result of a pick-up in wage growth relative to productivity growth. CPI inflation is nonetheless likely to remain below 1% until the second half of next year, reflecting the continuing drag from commodity and other imported goods prices. Beyond that, the dampening influence of sterling's past appreciation on inflation is expected to persist, with it likely still affecting inflation in two years' time."
