Unnamed: 0,id,sentence_id,date,bank,chair,day_of_week,doc_word_count,sentence_word_count,text,label
14166,20220609-ecb,20220609-ecb_103,2022-06-09,ecb,Christine Lagarde,Thu,5502,43,"And then we go further because we take a third step along that journey to indicate what we will do beyond September, which is also the anticipation that further rate hikes will be necessary on the basis of the data that we collect.",
18337,20240912-ecb,20240912-ecb_122,2024-09-12,ecb,Christine Lagarde,Thu,4795,30,"And of course I’m confident that the authorities of these institutions concerned, namely UniCredit and Commerzbank, will be perfectly aware of their regulatory requirements and will comply with such requirements.",
18816,20241212-ecb,20241212-ecb_151,2024-12-12,ecb,Christine Lagarde,Thu,4897,72,"The element which has changed and which has been reinforced, as you will have noted also in the monetary policy statement, is the downside risk, particularly downside risk to growth, which is more elaborate in the wording of the monetary policy statement, and I think that that's a way to indicate that, given the uncertainty that we have in abundance, it is also the right approach to beef up the risk measurement.",
20397,20251030-ecb,20251030-ecb_113,2025-10-30,ecb,Christine Lagarde,Thu,5697,54,"And I think there was some discussion as always – you know, on the one hand, on the other hand, some see a little bit more of this, little bit more of that – but I think we were all in agreement on that identification of risk with a specific listing of those risks.",
1415,20150903-ecb,20150903-ecb_151,2015-09-03,ecb,Mario Draghi,Thu,5181,29,"On your other question, I think that the only answer there is that really any European should be horrified by the tragic loss of life happening on our doorstep.",
16384,20230727-ecb,20230727-ecb_229,2023-07-27,ecb,Christine Lagarde,Thu,5339,5,What data will be important?,
20078,20250911-ecb,20250911-ecb_64,2025-09-11,ecb,Christine Lagarde,Thu,5662,43,"Our interest rate decisions will be based on our assessment of the inflation outlook and the risks surrounding it, in light of the incoming economic and financial data, as well as the dynamics of underlying inflation and the strength of monetary policy transmission.",
20352,20251030-ecb,20251030-ecb_68,2025-10-30,ecb,Christine Lagarde,Thu,5697,43,"Our interest rate decisions will be based on our assessment of the inflation outlook and the risks surrounding it, in light of the incoming economic and financial data, as well as the dynamics of underlying inflation and the strength of monetary policy transmission.",
9824,20200430-ecb,20200430-ecb_54,2020-04-30,ecb,Christine Lagarde,Thu,6293,15,Demand for loans to households for house purchase increased less than in the previous quarter.,
15183,20221215-ecb,20221215-ecb_123,2022-12-15,ecb,Christine Lagarde,Thu,5484,40,"I think one question mark that we need to have on our mind is what happens to China and what role will China play in that context, which will be very interesting to monitor and to also assess as well.",
12775,20210909-ecb,20210909-ecb_138,2021-09-09,ecb,Christine Lagarde,Thu,6448,40,"The third one, which is quite interesting as well, especially when you disaggregate it, is the inflation that is related to services, because we have seen a reopening of the economy on the service front, in the most recent months.",
873,20150603-ecb,20150603-ecb_117,2015-06-03,ecb,Mario Draghi,Wed,4931,21,"But we should not forget that the structural component of our unemployment is high, and was high even before the crisis.",
16425,20230914-ecb,20230914-ecb_3,2023-09-14,ecb,Christine Lagarde,Thu,5445,19,We are determined to ensure that inflation returns to our two per cent medium-term target in a timely manner.,
5364,20171214-ecb,20171214-ecb_189,2017-12-14,ecb,Mario Draghi,Thu,4280,5,We cannot go beyond that.,
4214,20170427-ecb,20170427-ecb_73,2017-04-27,ecb,Mario Draghi,Thu,4240,21,"Now, the second question, if I can rephrase it: is the experience we had in 2011 going to be repeated today?",
1787,20151203-ecb,20151203-ecb_72,2015-12-03,ecb,Mario Draghi,Thu,5143,8,And why did we come to this conclusion?,
18519,20241017-ecb,20241017-ecb_76,2024-10-17,ecb,Christine Lagarde,Thu,4770,31,"If we look at all the surveys that are in the works at the moment, of which the specific numbers and data will be available soon, it is the same story.",
16746,20231026-ecb,20231026-ecb_68,2023-10-26,ecb,Christine Lagarde,Thu,4326,25,"At the same time, inflation dropped markedly in September, including due to strong base effects, and most measures of underlying inflation have continued to ease.",
