Unnamed: 0,id,sentence_id,date,bank,chair,day_of_week,doc_word_count,sentence_word_count,text,label
14166,20220609-ecb,20220609-ecb_103,6/9/2022,ecb,Christine Lagarde,Thu,5502,43,"And then we go further because we take a third step along that journey to indicate what we will do beyond September, which is also the anticipation that further rate hikes will be necessary on the basis of the data that we collect.",hawkish
18337,20240912-ecb,20240912-ecb_122,9/12/2024,ecb,Christine Lagarde,Thu,4795,30,"And of course I’m confident that the authorities of these institutions concerned, namely UniCredit and Commerzbank, will be perfectly aware of their regulatory requirements and will comply with such requirements.",neutral
18816,20241212-ecb,20241212-ecb_151,12/12/2024,ecb,Christine Lagarde,Thu,4897,72,"The element which has changed and which has been reinforced, as you will have noted also in the monetary policy statement, is the downside risk, particularly downside risk to growth, which is more elaborate in the wording of the monetary policy statement, and I think that that's a way to indicate that, given the uncertainty that we have in abundance, it is also the right approach to beef up the risk measurement.",dovish
20397,20251030-ecb,20251030-ecb_113,10/30/2025,ecb,Christine Lagarde,Thu,5697,54,"And I think there was some discussion as always – you know, on the one hand, on the other hand, some see a little bit more of this, little bit more of that – but I think we were all in agreement on that identification of risk with a specific listing of those risks.",neutral
1415,20150903-ecb,20150903-ecb_151,9/3/2015,ecb,Mario Draghi,Thu,5181,29,"On your other question, I think that the only answer there is that really any European should be horrified by the tragic loss of life happening on our doorstep.",neutral
16384,20230727-ecb,20230727-ecb_229,7/27/2023,ecb,Christine Lagarde,Thu,5339,5,What data will be important?,neutral
20078,20250911-ecb,20250911-ecb_64,9/11/2025,ecb,Christine Lagarde,Thu,5662,43,"Our interest rate decisions will be based on our assessment of the inflation outlook and the risks surrounding it, in light of the incoming economic and financial data, as well as the dynamics of underlying inflation and the strength of monetary policy transmission.",neutral
20352,20251030-ecb,20251030-ecb_68,10/30/2025,ecb,Christine Lagarde,Thu,5697,43,"Our interest rate decisions will be based on our assessment of the inflation outlook and the risks surrounding it, in light of the incoming economic and financial data, as well as the dynamics of underlying inflation and the strength of monetary policy transmission.",neutral
9824,20200430-ecb,20200430-ecb_54,4/30/2020,ecb,Christine Lagarde,Thu,6293,15,Demand for loans to households for house purchase increased less than in the previous quarter.,neutral
15183,20221215-ecb,20221215-ecb_123,12/15/2022,ecb,Christine Lagarde,Thu,5484,40,"I think one question mark that we need to have on our mind is what happens to China and what role will China play in that context, which will be very interesting to monitor and to also assess as well.",neutral
12775,20210909-ecb,20210909-ecb_138,9/9/2021,ecb,Christine Lagarde,Thu,6448,40,"The third one, which is quite interesting as well, especially when you disaggregate it, is the inflation that is related to services, because we have seen a reopening of the economy on the service front, in the most recent months.",neutral
873,20150603-ecb,20150603-ecb_117,6/3/2015,ecb,Mario Draghi,Wed,4931,21,"But we should not forget that the structural component of our unemployment is high, and was high even before the crisis.",neutral
16425,20230914-ecb,20230914-ecb_3,9/14/2023,ecb,Christine Lagarde,Thu,5445,19,We are determined to ensure that inflation returns to our two per cent medium-term target in a timely manner.,hawkish
5364,20171214-ecb,20171214-ecb_189,12/14/2017,ecb,Mario Draghi,Thu,4280,5,We cannot go beyond that.,neutral
4214,20170427-ecb,20170427-ecb_73,4/27/2017,ecb,Mario Draghi,Thu,4240,21,"Now, the second question, if I can rephrase it: is the experience we had in 2011 going to be repeated today?",neutral
1787,20151203-ecb,20151203-ecb_72,12/3/2015,ecb,Mario Draghi,Thu,5143,8,And why did we come to this conclusion?,neutral
18519,20241017-ecb,20241017-ecb_76,10/17/2024,ecb,Christine Lagarde,Thu,4770,31,"If we look at all the surveys that are in the works at the moment, of which the specific numbers and data will be available soon, it is the same story.",neutral
16746,20231026-ecb,20231026-ecb_68,10/26/2023,ecb,Christine Lagarde,Thu,4326,25,"At the same time, inflation dropped markedly in September, including due to strong base effects, and most measures of underlying inflation have continued to ease.",dovish
5062,20171026-ecb,20171026-ecb_135,10/26/2017,ecb,Mario Draghi,Thu,5179,28,That's where our monetary policy becomes essential and that's what our monetary policy has in a sense contributed to create more than seven million jobs in four years.,neutral
15409,20230202-ecb,20230202-ecb_141,2/2/2023,ecb,Christine Lagarde,Thu,5941,6,Headline inflation numbers matter a lot.,neutral
15508,20230316-ecb,20230316-ecb_15,3/16/2023,ecb,Christine Lagarde,Thu,5121,38,The baseline projections for growth in 2023 have been revised up to an average of 1.0 per cent as a result of both the decline in energy prices and the economy’s greater resilience to the challenging international environment.,neutral
9889,20200430-ecb,20200430-ecb_119,4/30/2020,ecb,Christine Lagarde,Thu,6293,51,"We also decided to create a new instrument that we call PELTRO; the Pandemic Emergency Longer-Term Refinancing Operation, which is intended to support liquidity conditions to the entire euro area, to the entire financial system, to contribute to preserving the smooth functioning of money markets by providing effectively a liquidity backstop.",neutral
