Unnamed: 0;id;sentence_id;date;bank;chair;day_of_week;doc_word_count;sentence_word_count;text;label
9339;20201216-fed;20201216-fed_237;2020-12-16;fed;Jerome Powell;Wed;7850;37;"And, you know, we’ve been having very long expansions since—in, in the 
last several decades because inflation has not—really, the old model was, inflation would come 
along and the Fed would tighten, and we’d have a recession.";neutral
19753;20240612-fed;20240612-fed_73;2024-06-12;fed;Jerome Powell;Wed;6984;1;Yeah—no.;neutral
15521;20221214-fed;20221214-fed_68;2022-12-14;fed;Jerome Powell;Wed;6048;12;We think that financial conditions have tightened significantly in the past year.;neutral
5122;20190619-fed;20190619-fed_207;2019-06-19;fed;Jerome Powell;Wed;5303;12;"You know, we have—we don’t have plenary authority over 
cryptocurrencies as such.";neutral
9328;20201216-fed;20201216-fed_226;2020-12-16;fed;Jerome Powell;Wed;7850;16;"You know, 
we’re—I think you have to be honest with yourself about, about inflation these days.";neutral
8670;20200916-fed;20200916-fed_330;2020-09-16;fed;Jerome Powell;Wed;8343;27;"So, you know, 
because people were setting those systems up, and when they got them set up, they counted them 
all at once and things like that.";neutral
10299;20210317-fed;20210317-fed_350;2021-03-17;fed;Jerome Powell;Wed;7708;14;"This time around, the 
regulated part of the financial system held up very well.";neutral
17394;20230726-fed;20230726-fed_203;2023-07-26;fed;Jerome Powell;Wed;6508;36;"You can look at 
just job creation in the, the establishment survey has, you know—it’s still at a high level, but it 
was at, really, an extraordinarily high level for most of the last two years.";hawkish
14744;20220727-fed;20220727-fed_328;2022-07-27;fed;Jerome Powell;Wed;7286;11;"One, I don’t think that that 
has materially changed the situation.";neutral
20309;20240731-fed;20240731-fed_241;2024-07-31;fed;Jerome Powell;Wed;6371;11;"There are many, many 
examples, so it’s never exactly the same.";neutral
8105;20200729-fed;20200729-fed_189;2020-07-29;fed;Jerome Powell;Wed;7711;57;"And that brings us to a new—a new point here, which 
is, we need to—in addition to dealing with the health crisis—we have to remember, this is really 
a health crisis, and these are people who are having the coronavirus, and it’s taking a terrible toll, 
so we’ve got to deal with the economic ramifications of that.";neutral
6620;20200129-fed;20200129-fed_143;2020-01-29;fed;Jerome Powell;Wed;6976;5;It wasn’t any one factor.;neutral
20455;20240918-fed;20240918-fed_9;2024-09-18;fed;Jerome Powell;Wed;6256;37;"This decision reflects our 
growing confidence that with an appropriate recalibration of our policy stance, strength in the 
labor market can be maintained in a context of moderate growth and inflation moving 
sustainably down to 2 percent.";hawkish
16969;20230614-fed;20230614-fed_137;2023-06-14;fed;Jerome Powell;Wed;6570;25;"The economy is—the labor market, I think, has surprised many, if 
not all, analysts over the last couple of years with its extraordinary resilience, really.";neutral
20341;20240731-fed;20240731-fed_273;2024-07-31;fed;Jerome Powell;Wed;6371;22;"I’ll say this, too:  We never use our tools to support or oppose a 
political party, a politician, or any political outcome.";neutral
7325;20200429-fed;20200429-fed_136;2020-04-29;fed;Jerome Powell;Wed;6173;21;"I—you know, 
I would say, just on the U.S.—on the U.S. economy, there are things you can say, one can say.";neutral
11214;20210616-fed;20210616-fed_398;2021-06-16;fed;Jerome Powell;Wed;7956;32;"The situation that we, we addressed in 


 our—in our Statement on Longer-Run Goals and Monetary Policy Strategy was a situation in 
which employment was at very high levels, but inflation was low.";neutral
11587;20210728-fed;20210728-fed_338;2021-07-28;fed;Jerome Powell;Wed;7149;6;It’s going to take some time.;neutral
11535;20210728-fed;20210728-fed_286;2021-07-28;fed;Jerome Powell;Wed;7149;26;"And—but no decisions are made, and, and I’m just not in a position to, to give you 
much guidance, really any guidance, on the actual timing.";neutral
4856;20190501-fed;20190501-fed_201;2019-05-01;fed;Jerome Powell;Wed;4866;5;And another one is airfares.;neutral
14427;20220727-fed;20220727-fed_11;2022-07-27;fed;Jerome Powell;Wed;7286;8;Recent indicators of spending and production have softened.;dovish
20008;20240612-fed;20240612-fed_328;2024-06-12;fed;Jerome Powell;Wed;6984;40;"And, and, you know, the best thing we can do is, is to foster a very strong jobs economy, 
which we think we have done—ultimately to get inflation under control, because those people 
experience inflation, you know, very directly—very painfully.";hawkish
18126;20231101-fed;20231101-fed_228;2023-11-01;fed;Jerome Powell;Wed;6751;7;And QT is certainly on that list.;neutral
18029;20231101-fed;20231101-fed_131;2023-11-01;fed;Jerome Powell;Wed;6751;1;No.;neutral
14917;20220921-fed;20220921-fed_65;2022-09-21;fed;Jerome Powell;Wed;5462;43;"And in 
light of the high inflation we’re seeing, we think we’ll need to—and in light of what I just said, 
we think that we’ll need to bring our funds rate to a restrictive level and to keep it there for 
some time.";hawkish
1742;20161214-fed;20161214-fed_67;2016-12-14;fed;Janet Yellen;Wed;4874;25;"As you know, this was a decision that 
was well anticipated in markets, and I think it will have relatively small effect on market rates.";neutral
7297;20200429-fed;20200429-fed_108;2020-04-29;fed;Jerome Powell;Wed;6173;12;"Main Street 
facility is—we’re close to announcing—to issuing a new term sheet.";neutral
5733;20190918-fed;20190918-fed_235;2019-09-18;fed;Jerome Powell;Wed;6392;6;It’s—you know, it’s tough to say.;neutral
1930;20170315-fed;20170315-fed_42;2017-03-15;fed;Janet Yellen;Wed;5070;14;"Moreover, fiscal policy is only one of 
many factors that can influence the outlook.";neutral
15400;20221102-fed;20221102-fed_283;2022-11-02;fed;Jerome Powell;Wed;6180;32;"But what you’re—the implication is that 
there are still, as people, as non-new leases roll over and expire, right, they’re still in the pipeline, 
there’s still some significant rate increases coming, okay?";hawkish
23919;20251029-fed;20251029-fed_92;2025-10-29;fed;Jerome Powell;Wed;7197;15;"Of course, reserves will continue to decline from that point forward as nonreserve 
liabilities grow.";hawkish
5169;20190619-fed;20190619-fed_254;2019-06-19;fed;Jerome Powell;Wed;5303;16;"You know, I think the issue isn’t that the banks don’t understand what 
the rules are.";neutral
10945;20210616-fed;20210616-fed_129;2021-06-16;fed;Jerome Powell;Wed;7956;22;"So we, we do tend to look at the longer-term inflation expectations, 
because that’s really, we think, what matters for, for inflation.";neutral
4025;20181219-fed;20181219-fed_212;2018-12-19;fed;Jerome Powell;Wed;5060;6;So did that answer your question?;neutral
22120;20250319-fed;20250319-fed_219;2025-03-19;fed;Jerome Powell;Wed;6856;29;"You’re trying to extract a signal from that, and the signal is what’s going to be the effect on 
economic activity, on inflation, on employment, and all those things.";neutral
12991;20220126-fed;20220126-fed_167;2022-01-26;fed;Jerome Powell;Wed;7124;7;Now, we didn’t intend to do that.;neutral
16279;20230322-fed;20230322-fed_106;2023-03-22;fed;Jerome Powell;Wed;5332;29;"And so what we did was, early 
Monday morning, we sat down and said, “Let’s do this.”  And he, he was obviously going to lead 
it in his capacity.";neutral
1476;20160921-fed;20160921-fed_65;2016-09-21;fed;Janet Yellen;Wed;6147;10;"We’re generally pleased with how 
the U.S. economy is doing.";neutral
6407;20191211-fed;20191211-fed_278;2019-12-11;fed;Jerome Powell;Wed;6672;19;"We want to—we want to have this be a successful exercise where we 
meaningfully improve our monetary policy framework.";neutral
12679;20211215-fed;20211215-fed_281;2021-12-15;fed;Jerome Powell;Wed;8118;22;"But fundamentally, though, the consumer is really healthy, and we expect personal 
consumption expenditures to be pretty strong in the fourth quarter.";hawkish
8949;20201105-fed;20201105-fed_175;2020-11-05;fed;Jerome Powell;Thu;6394;1;Yes.;neutral
17491;20230726-fed;20230726-fed_300;2023-07-26;fed;Jerome Powell;Wed;6508;5;So that, that could happen.;neutral
14764;20220727-fed;20220727-fed_348;2022-07-27;fed;Jerome Powell;Wed;7286;29;"And, you know, when it 
happens, you have to—really, in both ’13 and ’18, it really had consequences for the real 


 economy, you know, two, three, four months later.";neutral
18462;20231213-fed;20231213-fed_189;2023-12-13;fed;Jerome Powell;Wed;5992;8;And, and so that’s how I would answer.;neutral
5824;20190918-fed;20190918-fed_326;2019-09-18;fed;Jerome Powell;Wed;6392;11;We take that into account in setting our interest rate policy.;neutral
10526;20210428-fed;20210428-fed_111;2021-04-28;fed;Jerome Powell;Wed;7397;20;"I mean, we—it’s part of a 
strong economy, with people having money to spend and wanting to invest in housing.";neutral
13600;20220316-fed;20220316-fed_359;2022-03-16;fed;Jerome Powell;Wed;6576;7;And the overall economy can as well.;neutral
24013;20251029-fed;20251029-fed_186;2025-10-29;fed;Jerome Powell;Wed;7197;7;And for wage inflation, there’s ADP data.;neutral
14570;20220727-fed;20220727-fed_154;2022-07-27;fed;Jerome Powell;Wed;7286;37;"If 


 you fail to deal with it in the near term, it only raises the cost of, of dealing with it later to the 
extent people start to see it as just part of their economic lives.";hawkish
11440;20210728-fed;20210728-fed_191;2021-07-28;fed;Jerome Powell;Wed;7149;5;"So that wouldn’t 
be ideal.";neutral
8582;20200916-fed;20200916-fed_242;2020-09-16;fed;Jerome Powell;Wed;8343;6;"So the 
numbers are going up.";neutral
5118;20190619-fed;20190619-fed_203;2019-06-19;fed;Jerome Powell;Wed;5303;27;"We meet with a broad range of 
private-sector firms all the time on financial technology, and there’s just a tremendous amount of 
innovation going on out there.";neutral
13756;20220504-fed;20220504-fed_125;2022-05-04;fed;Jerome Powell;Wed;6370;5;"So it’s a 
concept, really.";neutral
3065;20180321-fed;20180321-fed_225;2018-03-21;fed;Jerome Powell;Wed;4926;17;"Remember that there are 15 FOMC participants, and we—each 
of us has his or her own forecast.";neutral
15378;20221102-fed;20221102-fed_261;2022-11-02;fed;Jerome Powell;Wed;6180;12;I would not—I would not change a word in that statement, though.;neutral
17043;20230614-fed;20230614-fed_211;2023-06-14;fed;Jerome Powell;Wed;6570;34;"So—
and that’s, you know, that’s a little bit of the finding of the Bernanke paper with Blanchard of a 
few weeks ago, which is very consistent with, with what I, I would think.";neutral
4586;20190320-fed;20190320-fed_214;2019-03-20;fed;Jerome Powell;Wed;5395;10;"So that’s one of the reasons why we’re 
being patient.";neutral
12544;20211215-fed;20211215-fed_146;2021-12-15;fed;Jerome Powell;Wed;8118;10;I just think, at this point, we don’t know much.;neutral
7560;20200610-fed;20200610-fed_41;2020-06-10;fed;Jerome Powell;Wed;7814;38;"The Federal Reserve is also undertaking programs to provide stability to the financial 
system and to more directly support the flow of credit in the economy—for households, for 
businesses of all sizes, and for state and local governments.";dovish
15385;20221102-fed;20221102-fed_268;2022-11-02;fed;Jerome Powell;Wed;6180;6;So that isn’t going to change.;neutral
5522;20190918-fed;20190918-fed_24;2019-09-18;fed;Jerome Powell;Wed;6392;15;Participation in the labor force by people in their prime working years has been increasing.;neutral
8722;20200916-fed;20200916-fed_382;2020-09-16;fed;Jerome Powell;Wed;8343;17;"Of course, there would be—this is—you know, we’re the first major central bank to 
adopt this framework.";neutral
13076;20220126-fed;20220126-fed_252;2022-01-26;fed;Jerome Powell;Wed;7124;16;"And that, I 
think, does raise, raise the risk that high inflation will be more persistent.";hawkish
19294;20240320-fed;20240320-fed_293;2024-03-20;fed;Jerome Powell;Wed;5684;8;But not every day and in every way.;neutral
4096;20190130-fed;20190130-fed_19;2019-01-30;fed;Jerome Powell;Wed;5518;20;"At such times, 
common-sense risk management suggests patiently awaiting greater clarity—an approach that 
has served policymakers well in the past.";neutral
23833;20251029-fed;20251029-fed_6;2025-10-29;fed;Jerome Powell;Wed;7197;34;"In support of our goals, and in light of the balance of risks to employment and inflation, 
today the Federal Open Market Committee decided to lower our policy interest rate by 
¼ percentage point.";dovish
2577;20171213-fed;20171213-fed_9;2017-12-13;fed;Janet Yellen;Wed;6682;30;"While changes in tax policy will likely provide some lift to 
economic activity in coming years, the magnitude and timing of the macroeconomic effects of 
any tax package remain uncertain.";dovish
14577;20220727-fed;20220727-fed_161;2022-07-27;fed;Jerome Powell;Wed;7286;12;And, of course, I would point to the labor market, in particular.;neutral
19843;20240612-fed;20240612-fed_163;2024-06-12;fed;Jerome Powell;Wed;6984;7;"Now, 
we, we can’t really know that.";neutral
19084;20240320-fed;20240320-fed_83;2024-03-20;fed;Jerome Powell;Wed;5684;19;"I want to start by being—saying I always try to be careful about 
dismissing data that we don’t like.";neutral
10062;20210317-fed;20210317-fed_113;2021-03-17;fed;Jerome Powell;Wed;7708;43;"And the last thing I’ll say is this:  The state of the economy in two or three years is 
highly uncertain, and I wouldn’t want to focus too much on the exact timing of a potential rate 
increase that far into the future.";hawkish
13295;20220316-fed;20220316-fed_54;2022-03-16;fed;Jerome Powell;Wed;6576;6;"I 
look forward to your questions.";neutral
10020;20210317-fed;20210317-fed_71;2021-03-17;fed;Jerome Powell;Wed;7708;3;I welcome that.;neutral
3373;20180613-fed;20180613-fed_264;2018-06-13;fed;Jerome Powell;Wed;6765;28;"We’ve also got quite a lot of 
work to promulgate rules to—after S. 2155 that Senator Crapo’s bill passed—we’ve got a lot of 
work to do under that.";neutral
22892;20250618-fed;20250618-fed_213;2025-06-18;fed;Jerome Powell;Wed;7053;20;"So what we 
learned—and particularly in April—was that substantially larger tariffs were coming and that 
that would mean higher inflation.";hawkish
11131;20210616-fed;20210616-fed_315;2021-06-16;fed;Jerome Powell;Wed;7956;8;"You know, 
who doesn’t want to see that?";neutral
12181;20211103-fed;20211103-fed_152;2021-11-03;fed;Jerome Powell;Wed;6736;9;"That 
doesn’t seem to have been the case, interestingly.";neutral
2658;20171213-fed;20171213-fed_90;2017-12-13;fed;Janet Yellen;Wed;6682;3;"[Laughter]

Wages, yes.";neutral
19991;20240612-fed;20240612-fed_311;2024-06-12;fed;Jerome Powell;Wed;6984;4;They couldn’t spend money.;neutral
8154;20200729-fed;20200729-fed_238;2020-07-29;fed;Jerome Powell;Wed;7711;52;"If there are particular groups that need help, that need direct monetary help—
not a loan, but an actual grant as the PPP program showed—you can save a lot of businesses and 
a lot of jobs with those in a case where lending a company money might not be the right answer.";dovish
23530;20250917-fed;20250917-fed_91;2025-09-17;fed;Jerome Powell;Wed;6563;14;At the same time, we’ve got to weigh the risks to the two goals.;neutral
17679;20230920-fed;20230920-fed_159;2023-09-20;fed;Jerome Powell;Wed;6934;20;"We’ll make—we take all of that into account, so I 
can’t really answer a hypothetical about one piece of that.";neutral
