yeUnnamed: 0,id,sentence_id,date,bank,chair,day_of_week,doc_word_count,sentence_word_count,text,daniel_label,eric_label,sam_label,majority_label,is_tie,strategy_a,strategy_b,strategy_c
14166.0,20220609-ecb,20220609-ecb_103,2022-06-09,ecb,Christine Lagarde,Thu,5502,43,"And then we go further because we take a third step along that journey to indicate what we will do beyond September, which is also the anticipation that further rate hikes will be necessary on the basis of the data that we collect.",hawkish,hawkish,hawkish,hawkish,False,hawkish,hawkish,hawkish
18337.0,20240912-ecb,20240912-ecb_122,2024-09-12,ecb,Christine Lagarde,Thu,4795,30,"And of course I’m confident that the authorities of these institutions concerned, namely UniCredit and Commerzbank, will be perfectly aware of their regulatory requirements and will comply with such requirements.",neutral,neutral,neutral,neutral,False,neutral,neutral,neutral
18816.0,20241212-ecb,20241212-ecb_151,2024-12-12,ecb,Christine Lagarde,Thu,4897,72,"The element which has changed and which has been reinforced, as you will have noted also in the monetary policy statement, is the downside risk, particularly downside risk to growth, which is more elaborate in the wording of the monetary policy statement, and I think that that's a way to indicate that, given the uncertainty that we have in abundance, it is also the right approach to beef up the risk measurement.",neutral,hawkish,dovish,dovish,True,dovish,dovish,dovish
20397.0,20251030-ecb,20251030-ecb_113,2025-10-30,ecb,Christine Lagarde,Thu,5697,54,"And I think there was some discussion as always – you know, on the one hand, on the other hand, some see a little bit more of this, little bit more of that – but I think we were all in agreement on that identification of risk with a specific listing of those risks.",neutral,neutral,neutral,neutral,False,neutral,neutral,neutral
1415.0,20150903-ecb,20150903-ecb_151,2015-09-03,ecb,Mario Draghi,Thu,5181,29,"On your other question, I think that the only answer there is that really any European should be horrified by the tragic loss of life happening on our doorstep.",neutral,neutral,neutral,neutral,False,neutral,neutral,neutral
16384.0,20230727-ecb,20230727-ecb_229,2023-07-27,ecb,Christine Lagarde,Thu,5339,5,What data will be important?,neutral,neutral,neutral,neutral,False,neutral,neutral,neutral
20078.0,20250911-ecb,20250911-ecb_64,2025-09-11,ecb,Christine Lagarde,Thu,5662,43,"Our interest rate decisions will be based on our assessment of the inflation outlook and the risks surrounding it, in light of the incoming economic and financial data, as well as the dynamics of underlying inflation and the strength of monetary policy transmission.",neutral,neutral,neutral,neutral,False,neutral,neutral,neutral
20352.0,20251030-ecb,20251030-ecb_68,2025-10-30,ecb,Christine Lagarde,Thu,5697,43,"Our interest rate decisions will be based on our assessment of the inflation outlook and the risks surrounding it, in light of the incoming economic and financial data, as well as the dynamics of underlying inflation and the strength of monetary policy transmission.",neutral,neutral,neutral,neutral,False,neutral,neutral,neutral
9824.0,20200430-ecb,20200430-ecb_54,2020-04-30,ecb,Christine Lagarde,Thu,6293,15,Demand for loans to households for house purchase increased less than in the previous quarter.,hawkish,hawkish,neutral,hawkish,False,neutral,neutral,neutral
15183.0,20221215-ecb,20221215-ecb_123,2022-12-15,ecb,Christine Lagarde,Thu,5484,40,"I think one question mark that we need to have on our mind is what happens to China and what role will China play in that context, which will be very interesting to monitor and to also assess as well.",neutral,neutral,neutral,neutral,False,neutral,neutral,neutral
