doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
BoE_201502_transcript,2015-02-12,0,1,4,2,18,0.0
BoE_201505_transcript,2015-05-13,1,1,1,1,20,0.0
BoE_201508_transcript,2015-08-06,0,1,0,6,16,0.17391304347826086
BoE_201511_transcript,2015-11-05,0,1,1,2,17,0.07142857142857142
BoE_201602_transcript,2016-02-04,0,0,2,4,14,0.05
BoE_201605_transcript,2016-05-12,0,0,0,0,21,0.0
BoE_201608_transcript,2016-08-04,3,0,10,0,11,-0.3333333333333333
BoE_201611_transcript,2016-11-03,2,0,3,0,16,-0.16666666666666666
BoE_201702_transcript,2017-02-02,0,0,1,0,14,-0.03333333333333333
BoE_201705_transcript,2017-05-11,1,0,0,2,17,0.0
BoE_201711_transcript,2017-11-02,0,0,1,4,14,0.07894736842105263
BoE_201802_transcript,2018-02-08,0,0,1,3,14,0.05555555555555555
BoE_201805_transcript,2018-05-10,0,1,1,3,19,0.08333333333333333
BoE_201808_transcript,2018-08-02,0,0,0,5,11,0.15625
BoE_201811_transcript,2018-11-01,1,0,1,0,19,-0.07142857142857142
BoE_201902_transcript,2019-02-07,1,0,1,0,19,-0.07142857142857142
BoE_201905_transcript,2019-05-02,0,3,0,2,18,0.17391304347826086
BoE_201908_transcript,2019-08-01,0,0,1,0,17,-0.027777777777777776
BoE_201911_transcript,2019-11-07,0,0,2,1,23,-0.019230769230769232
BoE_202003_transcript,2020-03-11,7,0,6,0,17,-0.3333333333333333
BoE_202005_transcript,2020-05-07,1,0,4,0,19,-0.125
BoE_202008_transcript,2020-08-06,0,0,4,0,15,-0.10526315789473684
BoE_202011_transcript,2020-11-05,2,0,1,0,13,-0.15625
BoE_202102_transcript,2021-02-04,0,0,1,0,10,-0.045454545454545456
BoE_202105_transcript,2021-05-06,0,0,1,0,23,-0.020833333333333332
BoE_202108_transcript,2021-08-05,0,0,1,0,12,-0.038461538461538464
BoE_202111_transcript,2021-11-04,2,0,0,0,21,-0.08695652173913043
BoE_202202_transcript,2022-02-03,1,3,0,1,15,0.125
BoE_202205_transcript,2022-05-05,1,1,2,0,9,-0.07692307692307693
BoE_202208_transcript,2022-08-04,2,2,1,0,14,-0.02631578947368421
BoE_202211_transcript,2022-11-03,0,0,2,2,21,0.0
BoE_202302_transcript,2023-02-02,0,0,1,2,16,0.02631578947368421
BoE_202305_transcript,2023-05-11,0,0,1,1,15,0.0
BoE_202308_transcript,2023-08-03,0,0,0,0,17,0.0
BoE_202311_transcript,2023-11-02,0,5,0,0,12,0.29411764705882354
BoE_202402_transcript,2024-02-01,0,0,2,1,16,-0.02631578947368421
BoE_202405_transcript,2024-05-09,0,0,1,0,15,-0.03125
BoE_202408_transcript,2024-08-01,0,0,1,2,20,0.021739130434782608
BoE_202411_transcript,2024-11-07,0,0,3,1,22,-0.038461538461538464
BoE_202502_transcript,2025-02-06,1,0,2,0,22,-0.08
BoE_202505_transcript,2025-05-08,0,0,1,0,20,-0.023809523809523808
BoE_202508_transcript,2025-08-07,0,0,1,0,17,-0.027777777777777776
BoE_202511_transcript,2025-11-06,0,0,1,0,19,-0.025
BoE_202602_transcript,2026-01-01,0,0,3,0,17,-0.075
