doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
BoE_201502_transcript,2015-02-12,0,1,1,2,21,0.06
BoE_201505_transcript,2015-05-13,0,0,1,7,16,0.125
BoE_201508_transcript,2015-08-06,0,1,0,8,14,0.21739130434782608
BoE_201511_transcript,2015-11-05,0,0,1,5,15,0.09523809523809523
BoE_201602_transcript,2016-02-04,0,0,1,4,15,0.075
BoE_201605_transcript,2016-05-12,0,0,0,1,20,0.023809523809523808
BoE_201608_transcript,2016-08-04,3,1,8,1,11,-0.22916666666666666
BoE_201611_transcript,2016-11-03,0,0,4,1,16,-0.07142857142857142
BoE_201702_transcript,2017-02-02,0,0,2,0,13,-0.06666666666666667
BoE_201705_transcript,2017-05-11,0,0,1,3,16,0.05
BoE_201711_transcript,2017-11-02,0,0,1,6,12,0.13157894736842105
BoE_201802_transcript,2018-02-08,0,0,1,6,11,0.1388888888888889
BoE_201805_transcript,2018-05-10,0,0,2,5,17,0.0625
BoE_201808_transcript,2018-08-02,0,0,0,4,12,0.125
BoE_201811_transcript,2018-11-01,0,0,0,1,20,0.023809523809523808
BoE_201902_transcript,2019-02-07,0,0,2,0,19,-0.047619047619047616
BoE_201905_transcript,2019-05-02,0,2,0,4,17,0.17391304347826086
BoE_201908_transcript,2019-08-01,0,0,1,1,16,0.0
BoE_201911_transcript,2019-11-07,0,0,2,1,23,-0.019230769230769232
BoE_202003_transcript,2020-03-11,5,0,8,0,17,-0.3
BoE_202005_transcript,2020-05-07,1,0,2,0,21,-0.08333333333333333
BoE_202008_transcript,2020-08-06,0,0,4,0,15,-0.10526315789473684
BoE_202011_transcript,2020-11-05,0,0,1,0,15,-0.03125
BoE_202102_transcript,2021-02-04,0,0,0,0,11,0.0
BoE_202105_transcript,2021-05-06,0,0,0,0,24,0.0
BoE_202108_transcript,2021-08-05,0,0,0,1,12,0.038461538461538464
BoE_202111_transcript,2021-11-04,0,0,4,0,19,-0.08695652173913043
BoE_202202_transcript,2022-02-03,0,1,0,6,13,0.2
BoE_202205_transcript,2022-05-05,0,0,1,2,10,0.038461538461538464
BoE_202208_transcript,2022-08-04,0,1,1,2,15,0.07894736842105263
BoE_202211_transcript,2022-11-03,0,0,0,2,23,0.04
BoE_202302_transcript,2023-02-02,0,0,2,3,14,0.02631578947368421
BoE_202305_transcript,2023-05-11,0,0,1,1,15,0.0
BoE_202308_transcript,2023-08-03,0,0,0,3,14,0.08823529411764706
BoE_202311_transcript,2023-11-02,0,2,0,6,9,0.29411764705882354
BoE_202402_transcript,2024-02-01,0,0,2,3,14,0.02631578947368421
BoE_202405_transcript,2024-05-09,0,0,2,2,12,0.0
BoE_202408_transcript,2024-08-01,0,0,2,2,19,0.0
BoE_202411_transcript,2024-11-07,0,0,5,0,21,-0.09615384615384616
BoE_202502_transcript,2025-02-06,0,0,3,0,22,-0.06
BoE_202505_transcript,2025-05-08,1,0,0,0,20,-0.047619047619047616
BoE_202508_transcript,2025-08-07,0,0,1,0,17,-0.027777777777777776
BoE_202511_transcript,2025-11-06,0,0,1,0,19,-0.025
BoE_202602_transcript,2026-01-01,0,0,2,2,16,0.0
