doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
ECB_20150122,2015-01-22,1,0,3,0,13,-0.14705882352941177
ECB_20150305,2015-03-05,1,0,3,0,7,-0.22727272727272727
ECB_20150415,2015-04-15,0,0,0,1,14,0.03333333333333333
ECB_20150603,2015-06-03,1,0,0,2,19,0.0
ECB_20150716,2015-07-16,0,0,1,0,14,-0.03333333333333333
ECB_20150903,2015-09-03,0,0,4,0,13,-0.11764705882352941
ECB_20151022,2015-10-22,1,0,3,0,13,-0.14705882352941177
ECB_20151203,2015-12-03,0,0,5,0,16,-0.11904761904761904
ECB_20160121,2016-01-21,0,0,4,3,8,-0.03333333333333333
ECB_20160310,2016-03-10,3,0,2,1,10,-0.21875
ECB_20160421,2016-04-21,0,0,2,0,11,-0.07692307692307693
ECB_20160602,2016-06-02,0,0,2,0,13,-0.06666666666666667
ECB_20160721,2016-07-21,0,0,1,0,16,-0.029411764705882353
ECB_20160908,2016-09-08,0,0,5,0,8,-0.19230769230769232
ECB_20161020,2016-10-20,0,0,3,1,9,-0.07692307692307693
ECB_20161208,2016-12-08,2,0,5,0,14,-0.21428571428571427
ECB_20170119,2017-01-19,0,0,3,1,10,-0.07142857142857142
ECB_20170309,2017-03-09,0,0,2,0,8,-0.1
ECB_20170427,2017-04-27,0,0,4,1,16,-0.07142857142857142
ECB_20170608,2017-06-08,0,0,3,2,11,-0.03125
ECB_20170720,2017-07-20,0,0,3,0,9,-0.125
ECB_20170907,2017-09-07,0,0,3,1,17,-0.047619047619047616
ECB_20171026,2017-10-26,0,0,4,0,19,-0.08695652173913043
ECB_20171214,2017-12-14,0,0,0,4,11,0.13333333333333333
ECB_20180125,2018-01-25,0,0,2,1,16,-0.02631578947368421
ECB_20180308,2018-03-08,0,0,1,1,14,0.0
ECB_20180426,2018-04-26,0,0,3,0,11,-0.10714285714285714
ECB_20180614,2018-06-14,0,0,1,1,11,0.0
ECB_20180726,2018-07-26,0,0,1,0,10,-0.045454545454545456
ECB_20180913,2018-09-13,0,0,1,2,12,0.03333333333333333
ECB_20181025,2018-10-25,0,0,1,0,17,-0.027777777777777776
ECB_20181213,2018-12-13,0,0,3,1,11,-0.06666666666666667
ECB_20190124,2019-01-24,0,0,3,1,18,-0.045454545454545456
ECB_20190307,2019-03-07,0,0,4,1,8,-0.11538461538461539
ECB_20190410,2019-04-10,0,0,4,1,11,-0.09375
ECB_20190606,2019-06-06,1,0,6,0,10,-0.23529411764705882
ECB_20190725,2019-07-25,0,0,3,2,13,-0.027777777777777776
ECB_20190912,2019-09-12,1,0,5,0,12,-0.19444444444444445
ECB_20191024,2019-10-24,1,0,4,0,18,-0.13043478260869565
ECB_20191212,2019-12-12,0,0,0,1,12,0.038461538461538464
ECB_20200123,2020-01-23,0,0,2,0,10,-0.08333333333333333
ECB_20200312,2020-03-12,3,0,6,0,5,-0.42857142857142855
ECB_20200430,2020-04-30,1,0,3,0,5,-0.2777777777777778
ECB_20200604,2020-06-04,2,0,1,0,7,-0.25
ECB_20200716,2020-07-16,0,0,4,0,5,-0.2222222222222222
ECB_20200910,2020-09-10,0,0,4,0,6,-0.2
ECB_20201029,2020-10-29,3,0,5,0,4,-0.4583333333333333
ECB_20201210,2020-12-10,2,0,4,0,2,-0.5
ECB_20210121,2021-01-21,0,0,5,0,3,-0.3125
ECB_20210311,2021-03-11,1,0,4,0,3,-0.375
ECB_20210422,2021-04-22,1,0,4,0,7,-0.25
ECB_20210610,2021-06-10,1,0,2,1,7,-0.13636363636363635
ECB_20210708,2021-07-08,0,0,1,0,11,-0.041666666666666664
ECB_20210722,2021-07-22,0,0,2,1,8,-0.045454545454545456
ECB_20210909,2021-09-09,0,0,1,2,9,0.041666666666666664
ECB_20211028,2021-10-28,0,0,0,4,10,0.14285714285714285
ECB_20211216,2021-12-16,0,0,1,0,6,-0.07142857142857142
ECB_20220203,2022-02-03,0,0,0,5,9,0.17857142857142858
ECB_20220310,2022-03-10,0,0,0,0,8,0.0
ECB_20220414,2022-04-14,0,0,0,3,7,0.15
ECB_20220609,2022-06-09,0,2,0,4,5,0.36363636363636365
ECB_20220721,2022-07-21,0,3,0,1,10,0.25
ECB_20220908,2022-09-08,0,4,0,6,3,0.5384615384615384
ECB_20221027,2022-10-27,0,3,0,2,5,0.4
ECB_20221215,2022-12-15,0,5,0,2,7,0.42857142857142855
ECB_20230202,2023-02-02,0,3,0,6,3,0.5
ECB_20230316,2023-03-16,0,2,0,2,8,0.25
ECB_20230504,2023-05-04,0,2,0,3,6,0.3181818181818182
ECB_20230615,2023-06-15,0,2,0,3,6,0.3181818181818182
ECB_20230727,2023-07-27,0,1,0,3,9,0.19230769230769232
ECB_20230914,2023-09-14,0,0,0,4,8,0.16666666666666666
ECB_20231026,2023-10-26,0,0,1,2,10,0.038461538461538464
ECB_20231214,2023-12-14,0,0,0,4,2,0.3333333333333333
ECB_20240125,2024-01-25,0,0,0,3,7,0.15
ECB_20240307,2024-03-07,0,0,1,1,9,0.0
ECB_20240411,2024-04-11,0,0,1,1,7,0.0
ECB_20240606,2024-06-06,0,0,1,2,6,0.05555555555555555
