doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
FOMCpresconf20150318,2015-03-18,0,0,1,1,19,0.0
FOMCpresconf20150617,2015-06-17,0,1,0,3,13,0.14705882352941177
fomcpresconf20150917,2015-09-17,1,0,2,2,13,-0.05555555555555555
FOMCpresconf20151216,2015-12-16,0,1,1,2,20,0.0625
FOMCpresconf20160316,2016-03-16,0,0,1,2,14,0.029411764705882353
FOMCpresconf20160615,2016-06-15,1,0,0,2,14,0.0
FOMCpresconf20160921,2016-09-21,0,0,1,3,17,0.047619047619047616
FOMCpresconf20161214,2016-12-14,0,1,0,0,21,0.045454545454545456
FOMCpresconf20170315,2017-03-15,0,1,0,0,20,0.047619047619047616
FOMCpresconf20170614,2017-06-14,0,0,1,2,18,0.023809523809523808
FOMCpresconf20170920,2017-09-20,1,0,0,1,14,-0.03125
FOMCpresconf20171213,2017-12-13,0,0,2,0,26,-0.03571428571428571
FOMCpresconf20180321,2018-03-21,0,0,0,0,24,0.0
FOMCpresconf20180613,2018-06-13,0,1,1,0,22,0.020833333333333332
FOMCpresconf20180926,2018-09-26,0,1,0,0,25,0.038461538461538464
FOMCpresconf20181219,2018-12-19,0,0,3,1,16,-0.05
FOMCpresconf20190130,2019-01-30,0,1,3,0,26,-0.016666666666666666
FOMCpresconf20190320,2019-03-20,0,0,2,0,26,-0.03571428571428571
FOMCpresconf20190501,2019-05-01,0,0,2,0,23,-0.04
FOMCpresconf20190619,2019-06-19,0,0,7,0,20,-0.12962962962962962
FOMCpresconf20190731,2019-07-31,2,0,7,0,19,-0.19642857142857142
FOMCpresconf20190918,2019-09-18,0,0,8,0,22,-0.13333333333333333
FOMCpresconf20191030,2019-10-30,1,1,3,0,28,-0.045454545454545456
FOMCpresconf20191211,2019-12-11,0,0,4,0,25,-0.06896551724137931
FOMCpresconf20200129,2020-01-29,1,0,0,0,24,-0.04
FOMCpresconf20200303,2020-03-03,3,0,0,0,7,-0.3
FOMCpresconf20200315,2020-03-15,4,0,3,0,13,-0.275
FOMCpresconf20200429,2020-04-29,7,0,2,0,7,-0.5
FOMCpresconf20200610,2020-06-10,7,0,0,0,8,-0.4666666666666667
FOMCpresconf20200729,2020-07-29,3,0,4,0,15,-0.22727272727272727
FOMCpresconf20200916,2020-09-16,3,0,7,0,15,-0.26
FOMCpresconf20201105,2020-11-05,0,0,4,0,15,-0.10526315789473684
FOMCpresconf20201216,2020-12-16,4,0,0,0,19,-0.17391304347826086
FOMCpresconf20210127,2021-01-27,1,0,3,0,15,-0.13157894736842105
FOMCpresconf20210317,2021-03-17,1,0,2,0,22,-0.08
FOMCpresconf20210428,2021-04-28,0,0,2,0,23,-0.04
FOMCpresconf20210616,2021-06-16,0,0,0,1,22,0.021739130434782608
FOMCpresconf20210728,2021-07-28,0,0,2,0,20,-0.045454545454545456
FOMCpresconf20210922,2021-09-22,0,0,1,1,26,0.0
FOMCpresconf20211103,2021-11-03,0,1,0,0,24,0.04
FOMCpresconf20211215,2021-12-15,0,6,0,1,21,0.23214285714285715
FOMCpresconf20220126,2022-01-26,0,4,0,3,14,0.2619047619047619
FOMCpresconf20220316,2022-03-16,0,10,0,5,12,0.46296296296296297
FOMCpresconf20220504,2022-05-04,0,9,0,1,8,0.5277777777777778
FOMCpresconf20220615,2022-06-15,0,9,0,2,16,0.37037037037037035
FOMCpresconf20220727,2022-07-27,0,5,0,2,21,0.21428571428571427
FOMCpresconf20220921,2022-09-21,0,9,0,0,13,0.4090909090909091
FOMCpresconf20221102,2022-11-02,0,7,0,2,15,0.3333333333333333
FOMCpresconf20221214,2022-12-14,0,6,1,3,12,0.3181818181818182
FOMCpresconf20230201,2023-02-01,1,4,0,2,22,0.13793103448275862
FOMCpresconf20230322,2023-03-22,0,2,0,2,29,0.09090909090909091
FOMCpresconf20230503,2023-05-03,0,1,0,2,29,0.0625
FOMCpresconf20230614,2023-06-14,0,1,0,4,23,0.10714285714285714
FOMCpresconf20230726,2023-07-26,1,6,2,4,24,0.16216216216216217
FOMCpresconf20230920,2023-09-20,0,4,1,1,25,0.12903225806451613
FOMCpresconf20231101,2023-11-01,0,3,0,1,27,0.11290322580645161
FOMCpresconf20231213,2023-12-13,1,1,0,0,28,0.0
FOMCpresconf20240131,2024-01-31,0,2,2,1,31,0.041666666666666664
FOMCpresconf20240320,2024-03-20,0,1,1,0,32,0.014705882352941176
FOMCpresconf20240501,2024-05-01,0,3,0,0,32,0.08571428571428572
FOMCpresconf20240612,2024-06-12,0,0,1,0,28,-0.017241379310344827
fomcpresconf20240731,2024-07-31,0,0,5,0,27,-0.078125
FOMCpresconf20240918,2024-09-18,0,1,3,0,30,-0.014705882352941176
FOMCpresconf20241107,2024-11-07,0,0,1,1,28,0.0
FOMCpresconf20241218,2024-12-18,0,1,5,1,24,-0.03225806451612903
FOMCpresconf20250129,2025-01-29,0,0,2,1,35,-0.013157894736842105
FOMCpresconf20250319,2025-03-19,0,0,1,1,35,0.0
FOMCpresconf20250507,2025-05-07,0,0,0,0,37,0.0
FOMCpresconf20250618,2025-06-18,0,2,0,0,30,0.0625
FOMCpresconf20250730,2025-07-30,0,1,1,2,29,0.045454545454545456
FOMCpresconf20250917,2025-09-17,1,0,4,0,30,-0.08571428571428572
FOMCpresconf20251029,2025-10-29,0,0,3,0,29,-0.046875
FOMCpresconf20251210,2025-12-10,0,0,2,1,29,-0.015625
