doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
FOMCpresconf20150318,2015-03-18,0,0,2,2,17,0.0
FOMCpresconf20150617,2015-06-17,0,0,1,5,11,0.11764705882352941
fomcpresconf20150917,2015-09-17,1,1,3,2,11,-0.027777777777777776
FOMCpresconf20151216,2015-12-16,0,1,5,4,14,0.020833333333333332
FOMCpresconf20160316,2016-03-16,1,1,1,2,12,0.029411764705882353
FOMCpresconf20160615,2016-06-15,0,0,1,3,13,0.058823529411764705
FOMCpresconf20160921,2016-09-21,0,0,1,2,18,0.023809523809523808
FOMCpresconf20161214,2016-12-14,0,1,2,1,18,0.022727272727272728
FOMCpresconf20170315,2017-03-15,0,0,1,2,18,0.023809523809523808
FOMCpresconf20170614,2017-06-14,0,0,2,4,15,0.047619047619047616
FOMCpresconf20170920,2017-09-20,0,0,0,1,15,0.03125
FOMCpresconf20171213,2017-12-13,0,0,1,1,26,0.0
FOMCpresconf20180321,2018-03-21,0,0,0,0,24,0.0
FOMCpresconf20180613,2018-06-13,1,1,3,2,17,-0.020833333333333332
FOMCpresconf20180926,2018-09-26,1,0,0,3,22,0.019230769230769232
FOMCpresconf20181219,2018-12-19,1,0,4,1,14,-0.125
FOMCpresconf20190130,2019-01-30,1,0,5,0,24,-0.11666666666666667
FOMCpresconf20190320,2019-03-20,2,0,2,0,24,-0.10714285714285714
FOMCpresconf20190501,2019-05-01,1,0,5,0,19,-0.14
FOMCpresconf20190619,2019-06-19,2,0,9,0,16,-0.24074074074074073
FOMCpresconf20190731,2019-07-31,5,0,8,1,14,-0.30357142857142855
FOMCpresconf20190918,2019-09-18,1,0,10,0,19,-0.2
FOMCpresconf20191030,2019-10-30,3,1,4,0,25,-0.12121212121212122
FOMCpresconf20191211,2019-12-11,3,0,8,2,16,-0.20689655172413793
FOMCpresconf20200129,2020-01-29,0,0,2,0,23,-0.04
FOMCpresconf20200303,2020-03-03,3,0,0,0,7,-0.3
FOMCpresconf20200315,2020-03-15,5,0,5,0,10,-0.375
FOMCpresconf20200429,2020-04-29,4,0,5,0,7,-0.40625
FOMCpresconf20200610,2020-06-10,2,0,8,0,5,-0.4
FOMCpresconf20200729,2020-07-29,4,0,5,0,13,-0.29545454545454547
FOMCpresconf20200916,2020-09-16,5,0,7,0,13,-0.34
FOMCpresconf20201105,2020-11-05,2,0,5,0,12,-0.23684210526315788
FOMCpresconf20201216,2020-12-16,4,0,5,0,14,-0.2826086956521739
FOMCpresconf20210127,2021-01-27,6,0,1,0,12,-0.34210526315789475
FOMCpresconf20210317,2021-03-17,3,0,5,0,17,-0.22
FOMCpresconf20210428,2021-04-28,2,0,7,0,16,-0.22
FOMCpresconf20210616,2021-06-16,0,0,3,3,17,0.0
FOMCpresconf20210728,2021-07-28,2,0,6,1,13,-0.20454545454545456
FOMCpresconf20210922,2021-09-22,0,0,2,4,22,0.03571428571428571
FOMCpresconf20211103,2021-11-03,0,1,2,1,21,0.02
FOMCpresconf20211215,2021-12-15,0,5,0,7,16,0.30357142857142855
FOMCpresconf20220126,2022-01-26,0,5,0,7,9,0.40476190476190477
FOMCpresconf20220316,2022-03-16,0,15,0,3,9,0.6111111111111112
FOMCpresconf20220504,2022-05-04,0,10,0,6,2,0.7222222222222222
FOMCpresconf20220615,2022-06-15,0,9,0,6,12,0.4444444444444444
FOMCpresconf20220727,2022-07-27,0,7,0,5,16,0.3392857142857143
FOMCpresconf20220921,2022-09-21,0,11,1,2,8,0.5227272727272727
FOMCpresconf20221102,2022-11-02,0,9,1,7,7,0.5
FOMCpresconf20221214,2022-12-14,0,9,1,3,9,0.45454545454545453
FOMCpresconf20230201,2023-02-01,0,4,1,11,13,0.3103448275862069
FOMCpresconf20230322,2023-03-22,0,3,1,6,23,0.16666666666666666
FOMCpresconf20230503,2023-05-03,0,3,4,2,23,0.0625
FOMCpresconf20230614,2023-06-14,0,1,3,7,17,0.10714285714285714
FOMCpresconf20230726,2023-07-26,0,7,5,5,20,0.1891891891891892
FOMCpresconf20230920,2023-09-20,0,3,2,5,21,0.14516129032258066
FOMCpresconf20231101,2023-11-01,0,3,0,6,22,0.1935483870967742
FOMCpresconf20231213,2023-12-13,0,1,5,2,22,-0.016666666666666666
FOMCpresconf20240131,2024-01-31,0,2,3,5,26,0.08333333333333333
FOMCpresconf20240320,2024-03-20,0,1,5,4,24,0.014705882352941176
FOMCpresconf20240501,2024-05-01,0,3,4,6,22,0.11428571428571428
FOMCpresconf20240612,2024-06-12,0,0,2,4,23,0.034482758620689655
fomcpresconf20240731,2024-07-31,1,0,9,2,20,-0.140625
FOMCpresconf20240918,2024-09-18,0,2,9,2,21,-0.04411764705882353
FOMCpresconf20241107,2024-11-07,0,1,3,0,26,-0.016666666666666666
FOMCpresconf20241218,2024-12-18,2,1,4,6,18,0.0
FOMCpresconf20250129,2025-01-29,0,0,3,2,33,-0.013157894736842105
FOMCpresconf20250319,2025-03-19,1,0,1,0,35,-0.04054054054054054
FOMCpresconf20250507,2025-05-07,1,0,0,0,36,-0.02702702702702703
FOMCpresconf20250618,2025-06-18,0,0,1,4,27,0.046875
FOMCpresconf20250730,2025-07-30,0,1,4,2,26,0.0
FOMCpresconf20250917,2025-09-17,3,0,7,0,25,-0.18571428571428572
FOMCpresconf20251029,2025-10-29,1,0,4,1,26,-0.078125
FOMCpresconf20251210,2025-12-10,1,0,4,0,27,-0.09375
