doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
FOMCpresconf20150318,2015-03-18,0,0,2,1,18,-0.023809523809523808
FOMCpresconf20150617,2015-06-17,0,0,1,4,12,0.08823529411764706
fomcpresconf20150917,2015-09-17,1,0,6,2,9,-0.16666666666666666
FOMCpresconf20151216,2015-12-16,0,0,6,1,17,-0.10416666666666667
FOMCpresconf20160316,2016-03-16,0,0,2,3,12,0.029411764705882353
FOMCpresconf20160615,2016-06-15,0,0,1,2,14,0.029411764705882353
FOMCpresconf20160921,2016-09-21,0,0,3,4,14,0.023809523809523808
FOMCpresconf20161214,2016-12-14,0,1,2,0,19,0.0
FOMCpresconf20170315,2017-03-15,0,0,3,3,15,0.0
FOMCpresconf20170614,2017-06-14,0,1,3,1,16,0.0
FOMCpresconf20170920,2017-09-20,0,0,2,1,13,-0.03125
FOMCpresconf20171213,2017-12-13,0,0,3,2,23,-0.017857142857142856
FOMCpresconf20180321,2018-03-21,0,0,0,0,24,0.0
FOMCpresconf20180613,2018-06-13,0,1,4,2,17,0.0
FOMCpresconf20180926,2018-09-26,0,0,0,1,25,0.019230769230769232
FOMCpresconf20181219,2018-12-19,0,0,5,0,15,-0.125
FOMCpresconf20190130,2019-01-30,1,0,3,0,26,-0.08333333333333333
FOMCpresconf20190320,2019-03-20,1,0,2,0,25,-0.07142857142857142
FOMCpresconf20190501,2019-05-01,1,0,4,0,20,-0.12
FOMCpresconf20190619,2019-06-19,1,0,7,0,19,-0.16666666666666666
FOMCpresconf20190731,2019-07-31,3,0,10,0,15,-0.2857142857142857
FOMCpresconf20190918,2019-09-18,2,0,7,0,21,-0.18333333333333332
FOMCpresconf20191030,2019-10-30,1,1,7,0,24,-0.10606060606060606
FOMCpresconf20191211,2019-12-11,3,0,7,2,17,-0.1896551724137931
FOMCpresconf20200129,2020-01-29,0,1,1,0,23,0.02
FOMCpresconf20200303,2020-03-03,3,0,1,0,6,-0.35
FOMCpresconf20200315,2020-03-15,5,0,5,0,10,-0.375
FOMCpresconf20200429,2020-04-29,10,0,1,0,5,-0.65625
FOMCpresconf20200610,2020-06-10,7,0,4,0,4,-0.6
FOMCpresconf20200729,2020-07-29,6,0,3,0,13,-0.3409090909090909
FOMCpresconf20200916,2020-09-16,7,0,7,0,11,-0.42
FOMCpresconf20201105,2020-11-05,3,0,7,0,9,-0.34210526315789475
FOMCpresconf20201216,2020-12-16,6,0,3,0,14,-0.32608695652173914
FOMCpresconf20210127,2021-01-27,7,0,2,0,10,-0.42105263157894735
FOMCpresconf20210317,2021-03-17,4,0,1,0,20,-0.18
FOMCpresconf20210428,2021-04-28,3,0,4,3,15,-0.14
FOMCpresconf20210616,2021-06-16,0,0,3,1,19,-0.043478260869565216
FOMCpresconf20210728,2021-07-28,1,1,3,1,16,-0.045454545454545456
FOMCpresconf20210922,2021-09-22,0,0,4,0,24,-0.07142857142857142
FOMCpresconf20211103,2021-11-03,1,0,3,3,18,-0.04
FOMCpresconf20211215,2021-12-15,0,2,1,5,20,0.14285714285714285
FOMCpresconf20220126,2022-01-26,1,3,0,5,12,0.21428571428571427
FOMCpresconf20220316,2022-03-16,0,9,0,9,9,0.5
FOMCpresconf20220504,2022-05-04,0,7,1,1,9,0.3888888888888889
FOMCpresconf20220615,2022-06-15,0,6,1,4,16,0.2777777777777778
FOMCpresconf20220727,2022-07-27,1,5,1,2,19,0.16071428571428573
FOMCpresconf20220921,2022-09-21,0,9,0,4,9,0.5
FOMCpresconf20221102,2022-11-02,0,6,0,2,16,0.2916666666666667
FOMCpresconf20221214,2022-12-14,0,9,4,0,9,0.3181818181818182
FOMCpresconf20230201,2023-02-01,0,4,2,4,19,0.1724137931034483
FOMCpresconf20230322,2023-03-22,0,1,0,4,28,0.09090909090909091
FOMCpresconf20230503,2023-05-03,0,2,0,3,27,0.109375
FOMCpresconf20230614,2023-06-14,0,3,4,3,18,0.08928571428571429
FOMCpresconf20230726,2023-07-26,2,4,6,6,19,0.05405405405405406
FOMCpresconf20230920,2023-09-20,0,2,2,4,23,0.0967741935483871
FOMCpresconf20231101,2023-11-01,0,3,2,3,23,0.11290322580645161
FOMCpresconf20231213,2023-12-13,1,1,3,0,25,-0.05
FOMCpresconf20240131,2024-01-31,0,1,5,3,27,0.0
FOMCpresconf20240320,2024-03-20,2,1,4,1,26,-0.07352941176470588
FOMCpresconf20240501,2024-05-01,0,3,9,4,19,0.014285714285714285
FOMCpresconf20240612,2024-06-12,0,1,5,3,20,0.0
fomcpresconf20240731,2024-07-31,0,0,7,2,23,-0.078125
FOMCpresconf20240918,2024-09-18,0,1,9,0,24,-0.10294117647058823
FOMCpresconf20241107,2024-11-07,0,0,3,1,26,-0.03333333333333333
FOMCpresconf20241218,2024-12-18,0,2,10,2,17,-0.06451612903225806
FOMCpresconf20250129,2025-01-29,0,0,3,0,35,-0.039473684210526314
FOMCpresconf20250319,2025-03-19,1,0,4,0,32,-0.08108108108108109
FOMCpresconf20250507,2025-05-07,1,0,1,0,35,-0.04054054054054054
FOMCpresconf20250618,2025-06-18,0,0,1,1,30,0.0
FOMCpresconf20250730,2025-07-30,0,0,4,3,26,-0.015151515151515152
FOMCpresconf20250917,2025-09-17,0,0,7,0,28,-0.1
FOMCpresconf20251029,2025-10-29,0,0,4,2,26,-0.03125
FOMCpresconf20251210,2025-12-10,0,0,5,0,27,-0.078125
