doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
FOMCpresconf20150318,2015-03-18,1,0,2,2,16,-0.047619047619047616
FOMCpresconf20150617,2015-06-17,0,0,4,3,10,-0.029411764705882353
fomcpresconf20150917,2015-09-17,2,0,5,3,8,-0.16666666666666666
FOMCpresconf20151216,2015-12-16,0,0,3,4,17,0.020833333333333332
FOMCpresconf20160316,2016-03-16,1,0,1,3,12,0.0
FOMCpresconf20160615,2016-06-15,0,0,0,2,15,0.058823529411764705
FOMCpresconf20160921,2016-09-21,0,0,3,6,12,0.07142857142857142
FOMCpresconf20161214,2016-12-14,0,1,1,0,20,0.022727272727272728
FOMCpresconf20170315,2017-03-15,0,0,2,5,14,0.07142857142857142
FOMCpresconf20170614,2017-06-14,0,0,2,2,17,0.0
FOMCpresconf20170920,2017-09-20,0,0,1,2,13,0.03125
FOMCpresconf20171213,2017-12-13,0,0,2,2,24,0.0
FOMCpresconf20180321,2018-03-21,0,0,1,1,22,0.0
FOMCpresconf20180613,2018-06-13,1,0,2,1,20,-0.0625
FOMCpresconf20180926,2018-09-26,0,0,1,3,22,0.038461538461538464
FOMCpresconf20181219,2018-12-19,0,0,4,1,15,-0.075
FOMCpresconf20190130,2019-01-30,1,0,6,0,23,-0.13333333333333333
FOMCpresconf20190320,2019-03-20,1,0,4,0,23,-0.10714285714285714
FOMCpresconf20190501,2019-05-01,3,0,2,0,20,-0.16
FOMCpresconf20190619,2019-06-19,2,0,5,0,20,-0.16666666666666666
FOMCpresconf20190731,2019-07-31,3,0,10,1,14,-0.26785714285714285
FOMCpresconf20190918,2019-09-18,1,0,11,0,18,-0.21666666666666667
FOMCpresconf20191030,2019-10-30,1,1,7,0,24,-0.10606060606060606
FOMCpresconf20191211,2019-12-11,3,0,7,2,17,-0.1896551724137931
FOMCpresconf20200129,2020-01-29,1,0,2,0,22,-0.08
FOMCpresconf20200303,2020-03-03,3,0,1,0,6,-0.35
FOMCpresconf20200315,2020-03-15,5,0,4,0,11,-0.35
FOMCpresconf20200429,2020-04-29,8,0,1,0,7,-0.53125
FOMCpresconf20200610,2020-06-10,5,0,4,0,6,-0.4666666666666667
FOMCpresconf20200729,2020-07-29,3,0,5,0,14,-0.25
FOMCpresconf20200916,2020-09-16,8,0,3,0,14,-0.38
FOMCpresconf20201105,2020-11-05,2,0,7,0,10,-0.2894736842105263
FOMCpresconf20201216,2020-12-16,6,0,2,0,15,-0.30434782608695654
FOMCpresconf20210127,2021-01-27,6,0,1,0,12,-0.34210526315789475
FOMCpresconf20210317,2021-03-17,4,0,1,0,20,-0.18
FOMCpresconf20210428,2021-04-28,2,0,6,0,17,-0.2
FOMCpresconf20210616,2021-06-16,0,0,1,6,16,0.10869565217391304
FOMCpresconf20210728,2021-07-28,1,0,6,1,14,-0.1590909090909091
FOMCpresconf20210922,2021-09-22,0,0,1,4,23,0.05357142857142857
FOMCpresconf20211103,2021-11-03,1,0,4,3,17,-0.06
FOMCpresconf20211215,2021-12-15,0,0,1,10,17,0.16071428571428573
FOMCpresconf20220126,2022-01-26,0,2,0,10,9,0.3333333333333333
FOMCpresconf20220316,2022-03-16,0,5,0,13,9,0.42592592592592593
FOMCpresconf20220504,2022-05-04,0,2,0,13,3,0.4722222222222222
FOMCpresconf20220615,2022-06-15,0,7,1,9,10,0.4074074074074074
FOMCpresconf20220727,2022-07-27,0,7,1,4,16,0.30357142857142855
FOMCpresconf20220921,2022-09-21,0,7,0,7,8,0.4772727272727273
FOMCpresconf20221102,2022-11-02,0,4,0,11,9,0.3958333333333333
FOMCpresconf20221214,2022-12-14,0,6,2,6,8,0.36363636363636365
FOMCpresconf20230201,2023-02-01,0,3,1,9,16,0.2413793103448276
FOMCpresconf20230322,2023-03-22,1,2,1,6,23,0.10606060606060606
FOMCpresconf20230503,2023-05-03,0,1,5,6,20,0.046875
FOMCpresconf20230614,2023-06-14,0,3,1,6,18,0.19642857142857142
FOMCpresconf20230726,2023-07-26,0,4,6,8,19,0.13513513513513514
FOMCpresconf20230920,2023-09-20,0,1,2,6,22,0.0967741935483871
FOMCpresconf20231101,2023-11-01,0,2,1,8,20,0.1774193548387097
FOMCpresconf20231213,2023-12-13,2,0,3,4,21,-0.05
FOMCpresconf20240131,2024-01-31,0,1,3,6,26,0.06944444444444445
FOMCpresconf20240320,2024-03-20,0,1,7,3,23,-0.029411764705882353
FOMCpresconf20240501,2024-05-01,1,2,5,7,20,0.05714285714285714
FOMCpresconf20240612,2024-06-12,0,0,7,5,17,-0.034482758620689655
fomcpresconf20240731,2024-07-31,0,0,9,2,21,-0.109375
FOMCpresconf20240918,2024-09-18,0,1,5,6,22,0.04411764705882353
FOMCpresconf20241107,2024-11-07,0,0,2,3,25,0.016666666666666666
FOMCpresconf20241218,2024-12-18,1,0,7,7,16,-0.03225806451612903
FOMCpresconf20250129,2025-01-29,0,0,3,3,32,0.0
FOMCpresconf20250319,2025-03-19,2,0,5,0,30,-0.12162162162162163
FOMCpresconf20250507,2025-05-07,1,0,1,0,35,-0.04054054054054054
FOMCpresconf20250618,2025-06-18,0,0,2,3,27,0.015625
FOMCpresconf20250730,2025-07-30,0,0,3,3,27,0.0
FOMCpresconf20250917,2025-09-17,3,0,7,0,25,-0.18571428571428572
FOMCpresconf20251029,2025-10-29,0,0,7,1,24,-0.09375
FOMCpresconf20251210,2025-12-10,3,0,2,1,26,-0.109375
