doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
FOMCpresconf20150318,2015-03-18,0,0,2,1,18,-0.023809523809523808
FOMCpresconf20150617,2015-06-17,0,0,2,3,12,0.029411764705882353
fomcpresconf20150917,2015-09-17,0,1,5,3,9,0.0
FOMCpresconf20151216,2015-12-16,0,0,3,2,19,-0.020833333333333332
FOMCpresconf20160316,2016-03-16,0,0,1,3,13,0.058823529411764705
FOMCpresconf20160615,2016-06-15,0,0,2,3,12,0.029411764705882353
FOMCpresconf20160921,2016-09-21,0,0,2,5,14,0.07142857142857142
FOMCpresconf20161214,2016-12-14,0,1,1,0,20,0.022727272727272728
FOMCpresconf20170315,2017-03-15,0,0,1,2,18,0.023809523809523808
FOMCpresconf20170614,2017-06-14,0,0,3,2,16,-0.023809523809523808
FOMCpresconf20170920,2017-09-20,0,0,2,3,11,0.03125
FOMCpresconf20171213,2017-12-13,0,0,2,0,26,-0.03571428571428571
FOMCpresconf20180321,2018-03-21,0,0,0,1,23,0.020833333333333332
FOMCpresconf20180613,2018-06-13,0,0,2,2,20,0.0
FOMCpresconf20180926,2018-09-26,0,0,0,7,19,0.1346153846153846
FOMCpresconf20181219,2018-12-19,0,0,4,1,15,-0.075
FOMCpresconf20190130,2019-01-30,1,0,3,0,26,-0.08333333333333333
FOMCpresconf20190320,2019-03-20,0,0,4,0,24,-0.07142857142857142
FOMCpresconf20190501,2019-05-01,1,0,2,1,21,-0.06
FOMCpresconf20190619,2019-06-19,1,0,6,1,19,-0.12962962962962962
FOMCpresconf20190731,2019-07-31,1,0,12,2,13,-0.21428571428571427
FOMCpresconf20190918,2019-09-18,1,0,11,0,18,-0.21666666666666667
FOMCpresconf20191030,2019-10-30,0,1,7,1,24,-0.06060606060606061
FOMCpresconf20191211,2019-12-11,0,0,7,2,20,-0.08620689655172414
FOMCpresconf20200129,2020-01-29,0,0,2,1,22,-0.02
FOMCpresconf20200303,2020-03-03,3,0,0,0,7,-0.3
FOMCpresconf20200315,2020-03-15,1,0,4,0,15,-0.15
FOMCpresconf20200429,2020-04-29,5,0,3,0,8,-0.40625
FOMCpresconf20200610,2020-06-10,3,0,6,0,6,-0.4
FOMCpresconf20200729,2020-07-29,4,0,2,0,16,-0.22727272727272727
FOMCpresconf20200916,2020-09-16,0,0,11,0,14,-0.22
FOMCpresconf20201105,2020-11-05,3,0,4,0,12,-0.2631578947368421
FOMCpresconf20201216,2020-12-16,2,0,5,0,16,-0.1956521739130435
FOMCpresconf20210127,2021-01-27,2,0,6,0,11,-0.2631578947368421
FOMCpresconf20210317,2021-03-17,0,0,5,0,20,-0.1
FOMCpresconf20210428,2021-04-28,0,0,7,0,18,-0.14
FOMCpresconf20210616,2021-06-16,0,0,2,3,18,0.021739130434782608
FOMCpresconf20210728,2021-07-28,1,0,5,1,15,-0.13636363636363635
FOMCpresconf20210922,2021-09-22,0,0,2,2,24,0.0
FOMCpresconf20211103,2021-11-03,0,0,2,6,17,0.08
FOMCpresconf20211215,2021-12-15,0,0,1,10,17,0.16071428571428573
FOMCpresconf20220126,2022-01-26,0,0,0,8,13,0.19047619047619047
FOMCpresconf20220316,2022-03-16,0,3,0,15,9,0.3888888888888889
FOMCpresconf20220504,2022-05-04,0,1,0,11,6,0.3611111111111111
FOMCpresconf20220615,2022-06-15,0,5,0,10,12,0.37037037037037035
FOMCpresconf20220727,2022-07-27,0,3,0,5,20,0.19642857142857142
FOMCpresconf20220921,2022-09-21,0,5,0,9,8,0.4318181818181818
FOMCpresconf20221102,2022-11-02,0,2,0,10,12,0.2916666666666667
FOMCpresconf20221214,2022-12-14,0,5,2,4,11,0.2727272727272727
FOMCpresconf20230201,2023-02-01,0,1,1,8,19,0.15517241379310345
FOMCpresconf20230322,2023-03-22,0,0,0,6,27,0.09090909090909091
FOMCpresconf20230503,2023-05-03,0,0,2,7,23,0.078125
FOMCpresconf20230614,2023-06-14,0,1,1,6,20,0.125
FOMCpresconf20230726,2023-07-26,0,1,6,11,19,0.0945945945945946
FOMCpresconf20230920,2023-09-20,0,0,1,8,22,0.11290322580645161
FOMCpresconf20231101,2023-11-01,0,1,1,5,24,0.0967741935483871
FOMCpresconf20231213,2023-12-13,0,0,4,1,25,-0.05
FOMCpresconf20240131,2024-01-31,0,1,4,4,27,0.027777777777777776
FOMCpresconf20240320,2024-03-20,0,0,5,2,27,-0.04411764705882353
FOMCpresconf20240501,2024-05-01,0,0,3,9,23,0.08571428571428572
FOMCpresconf20240612,2024-06-12,0,0,4,4,21,0.0
fomcpresconf20240731,2024-07-31,0,0,8,2,22,-0.09375
FOMCpresconf20240918,2024-09-18,0,0,6,4,24,-0.029411764705882353
FOMCpresconf20241107,2024-11-07,0,0,3,2,25,-0.016666666666666666
FOMCpresconf20241218,2024-12-18,0,0,10,6,15,-0.06451612903225806
FOMCpresconf20250129,2025-01-29,0,0,1,3,34,0.02631578947368421
FOMCpresconf20250319,2025-03-19,1,0,3,0,33,-0.06756756756756757
FOMCpresconf20250507,2025-05-07,0,0,3,2,32,-0.013513513513513514
FOMCpresconf20250618,2025-06-18,0,0,0,5,27,0.078125
FOMCpresconf20250730,2025-07-30,0,0,3,4,26,0.015151515151515152
FOMCpresconf20250917,2025-09-17,0,0,10,1,24,-0.12857142857142856
FOMCpresconf20251029,2025-10-29,0,0,4,2,26,-0.03125
FOMCpresconf20251210,2025-12-10,0,0,7,1,24,-0.09375
