doc_id,date,dovish,hawkish,mostly dovish,mostly hawkish,neutral,stance
FOMCpresconf20150318,2015-03-18,0,0,1,1,19,0.0
FOMCpresconf20150617,2015-06-17,0,0,1,2,14,0.029411764705882353
fomcpresconf20150917,2015-09-17,0,0,1,2,15,0.027777777777777776
FOMCpresconf20151216,2015-12-16,0,0,2,3,19,0.020833333333333332
FOMCpresconf20160316,2016-03-16,0,0,1,1,15,0.0
FOMCpresconf20160615,2016-06-15,0,0,0,1,16,0.029411764705882353
FOMCpresconf20160921,2016-09-21,0,0,0,2,19,0.047619047619047616
FOMCpresconf20161214,2016-12-14,0,0,0,1,21,0.022727272727272728
FOMCpresconf20170315,2017-03-15,0,0,0,1,20,0.023809523809523808
FOMCpresconf20170614,2017-06-14,0,0,1,1,19,0.0
FOMCpresconf20170920,2017-09-20,0,0,0,1,15,0.03125
FOMCpresconf20171213,2017-12-13,0,0,0,1,27,0.017857142857142856
FOMCpresconf20180321,2018-03-21,0,0,0,0,24,0.0
FOMCpresconf20180613,2018-06-13,0,0,1,2,21,0.020833333333333332
FOMCpresconf20180926,2018-09-26,0,0,0,2,24,0.038461538461538464
FOMCpresconf20181219,2018-12-19,0,0,1,1,18,0.0
FOMCpresconf20190130,2019-01-30,0,0,1,0,29,-0.016666666666666666
FOMCpresconf20190320,2019-03-20,0,0,1,0,27,-0.017857142857142856
FOMCpresconf20190501,2019-05-01,0,0,2,0,23,-0.04
FOMCpresconf20190619,2019-06-19,0,0,5,0,22,-0.09259259259259259
FOMCpresconf20190731,2019-07-31,0,0,8,0,20,-0.14285714285714285
FOMCpresconf20190918,2019-09-18,1,0,2,0,27,-0.06666666666666667
FOMCpresconf20191030,2019-10-30,0,1,4,0,28,-0.030303030303030304
FOMCpresconf20191211,2019-12-11,0,0,4,1,24,-0.05172413793103448
FOMCpresconf20200129,2020-01-29,0,0,0,0,25,0.0
FOMCpresconf20200303,2020-03-03,0,0,3,0,7,-0.15
FOMCpresconf20200315,2020-03-15,0,0,1,0,19,-0.025
FOMCpresconf20200429,2020-04-29,2,0,3,0,11,-0.21875
FOMCpresconf20200610,2020-06-10,1,0,2,0,12,-0.13333333333333333
FOMCpresconf20200729,2020-07-29,1,0,5,0,16,-0.1590909090909091
FOMCpresconf20200916,2020-09-16,1,0,3,0,21,-0.1
FOMCpresconf20201105,2020-11-05,0,0,3,0,16,-0.07894736842105263
FOMCpresconf20201216,2020-12-16,0,0,5,0,18,-0.10869565217391304
FOMCpresconf20210127,2021-01-27,2,0,3,0,14,-0.18421052631578946
FOMCpresconf20210317,2021-03-17,0,0,4,0,21,-0.08
FOMCpresconf20210428,2021-04-28,0,0,3,0,22,-0.06
FOMCpresconf20210616,2021-06-16,0,0,0,2,21,0.043478260869565216
FOMCpresconf20210728,2021-07-28,0,0,0,1,21,0.022727272727272728
FOMCpresconf20210922,2021-09-22,0,0,0,1,27,0.017857142857142856
FOMCpresconf20211103,2021-11-03,0,0,0,2,23,0.04
FOMCpresconf20211215,2021-12-15,0,0,0,8,20,0.14285714285714285
FOMCpresconf20220126,2022-01-26,0,0,0,10,11,0.23809523809523808
FOMCpresconf20220316,2022-03-16,0,4,0,14,9,0.4074074074074074
FOMCpresconf20220504,2022-05-04,0,3,0,8,7,0.3888888888888889
FOMCpresconf20220615,2022-06-15,0,3,0,8,16,0.25925925925925924
FOMCpresconf20220727,2022-07-27,0,4,0,7,17,0.26785714285714285
FOMCpresconf20220921,2022-09-21,0,7,0,5,10,0.4318181818181818
FOMCpresconf20221102,2022-11-02,0,4,0,8,12,0.3333333333333333
FOMCpresconf20221214,2022-12-14,0,6,0,5,11,0.38636363636363635
FOMCpresconf20230201,2023-02-01,0,2,0,5,22,0.15517241379310345
FOMCpresconf20230322,2023-03-22,0,0,0,5,28,0.07575757575757576
FOMCpresconf20230503,2023-05-03,0,0,0,8,24,0.125
FOMCpresconf20230614,2023-06-14,0,0,0,5,23,0.08928571428571429
FOMCpresconf20230726,2023-07-26,0,2,3,9,23,0.13513513513513514
FOMCpresconf20230920,2023-09-20,0,1,0,6,24,0.12903225806451613
FOMCpresconf20231101,2023-11-01,0,0,0,6,25,0.0967741935483871
FOMCpresconf20231213,2023-12-13,0,0,1,1,28,0.0
FOMCpresconf20240131,2024-01-31,0,1,1,1,33,0.027777777777777776
FOMCpresconf20240320,2024-03-20,0,1,3,1,29,0.0
FOMCpresconf20240501,2024-05-01,0,1,3,6,25,0.07142857142857142
FOMCpresconf20240612,2024-06-12,0,0,1,2,26,0.017241379310344827
fomcpresconf20240731,2024-07-31,0,0,4,2,26,-0.03125
FOMCpresconf20240918,2024-09-18,0,1,3,2,28,0.014705882352941176
FOMCpresconf20241107,2024-11-07,0,0,0,1,29,0.016666666666666666
FOMCpresconf20241218,2024-12-18,0,0,4,3,24,-0.016129032258064516
FOMCpresconf20250129,2025-01-29,0,0,0,2,36,0.02631578947368421
FOMCpresconf20250319,2025-03-19,0,0,0,1,36,0.013513513513513514
FOMCpresconf20250507,2025-05-07,0,0,0,0,37,0.0
FOMCpresconf20250618,2025-06-18,0,0,0,1,31,0.015625
FOMCpresconf20250730,2025-07-30,0,0,1,3,29,0.030303030303030304
FOMCpresconf20250917,2025-09-17,0,0,6,0,29,-0.08571428571428572
FOMCpresconf20251029,2025-10-29,0,0,2,2,28,0.0
FOMCpresconf20251210,2025-12-10,0,0,1,1,30,0.0
