doc_id,cv_fold
BoE_201502_transcript,0
BoE_201505_transcript,0
BoE_201508_transcript,0
BoE_201511_transcript,1
BoE_201602_transcript,4
BoE_201605_transcript,3
BoE_201608_transcript,2
BoE_201611_transcript,3
BoE_201702_transcript,2
BoE_201705_transcript,4
BoE_201711_transcript,3
BoE_201802_transcript,4
BoE_201805_transcript,1
BoE_201808_transcript,2
BoE_201811_transcript,1
BoE_201902_transcript,1
BoE_201905_transcript,3
BoE_201908_transcript,4
BoE_201911_transcript,3
BoE_202003_transcript,4
BoE_202005_transcript,1
BoE_202008_transcript,0
BoE_202011_transcript,1
BoE_202102_transcript,0
BoE_202105_transcript,2
BoE_202108_transcript,3
BoE_202111_transcript,0
BoE_202202_transcript,2
BoE_202205_transcript,2
BoE_202208_transcript,4
BoE_202211_transcript,3
BoE_202302_transcript,1
BoE_202305_transcript,2
BoE_202308_transcript,1
BoE_202311_transcript,3
BoE_202402_transcript,2
BoE_202405_transcript,3
BoE_202408_transcript,0
BoE_202411_transcript,4
BoE_202502_transcript,2
BoE_202505_transcript,0
BoE_202508_transcript,1
BoE_202511_transcript,4
BoE_202602_transcript,0
ECB_20150122,2
ECB_20150305,0
ECB_20150415,2
ECB_20150603,0
ECB_20150716,0
ECB_20150903,3
ECB_20151022,3
ECB_20151203,0
ECB_20160121,0
ECB_20160310,0
ECB_20160421,4
ECB_20160602,4
ECB_20160721,1
ECB_20160908,0
ECB_20161020,1
ECB_20161208,4
ECB_20170119,0
ECB_20170309,3
ECB_20170427,1
ECB_20170608,1
ECB_20170720,3
ECB_20170907,2
ECB_20171026,4
ECB_20171214,2
ECB_20180125,3
ECB_20180308,1
ECB_20180426,0
ECB_20180614,0
ECB_20180726,2
ECB_20180913,1
ECB_20181025,4
ECB_20181213,4
ECB_20190124,3
ECB_20190307,3
ECB_20190410,1
ECB_20190606,3
ECB_20190725,0
ECB_20190912,3
ECB_20191024,4
ECB_20191212,0
ECB_20200123,4
ECB_20200312,0
ECB_20200430,2
ECB_20200604,4
ECB_20200716,2
ECB_20200910,1
ECB_20201029,2
ECB_20201210,3
ECB_20210121,2
ECB_20210311,4
ECB_20210422,2
ECB_20210610,1
ECB_20210708,4
ECB_20210722,2
ECB_20210909,3
ECB_20211028,3
ECB_20211216,2
ECB_20220203,4
ECB_20220310,0
ECB_20220414,1
ECB_20220609,1
ECB_20220721,3
ECB_20220908,1
ECB_20221027,1
ECB_20221215,4
ECB_20230202,2
ECB_20230316,3
ECB_20230504,4
ECB_20230615,2
ECB_20230727,0
ECB_20230914,4
ECB_20231026,1
ECB_20231214,1
ECB_20240125,4
ECB_20240307,3
ECB_20240411,2
ECB_20240606,1
ECB_20240718,3
ECB_20240912,4
ECB_20241017,2
ECB_20241212,4
ECB_20250130,1
ECB_20250306,2
ECB_20250417,3
ECB_20250605,0
ECB_20250724,0
ECB_20250911,2
ECB_20251030,0
ECB_20251218,1
FOMCpresconf20150318,3
FOMCpresconf20150617,0
FOMCpresconf20151216,3
FOMCpresconf20160316,3
FOMCpresconf20160615,3
FOMCpresconf20160921,0
FOMCpresconf20161214,3
FOMCpresconf20170315,2
FOMCpresconf20170614,2
FOMCpresconf20170920,0
FOMCpresconf20171213,1
FOMCpresconf20180321,0
FOMCpresconf20180613,1
FOMCpresconf20180926,0
FOMCpresconf20181219,3
FOMCpresconf20190130,4
FOMCpresconf20190320,1
FOMCpresconf20190501,2
FOMCpresconf20190619,2
FOMCpresconf20190731,2
FOMCpresconf20190918,2
FOMCpresconf20191030,2
FOMCpresconf20191211,1
FOMCpresconf20200129,2
FOMCpresconf20200303,1
FOMCpresconf20200315,3
FOMCpresconf20200429,4
FOMCpresconf20200610,2
FOMCpresconf20200729,1
FOMCpresconf20200916,3
FOMCpresconf20201105,4
FOMCpresconf20201216,1
FOMCpresconf20210127,0
FOMCpresconf20210317,0
FOMCpresconf20210428,3
FOMCpresconf20210616,4
FOMCpresconf20210728,1
FOMCpresconf20210922,2
FOMCpresconf20211103,1
FOMCpresconf20211215,0
FOMCpresconf20220126,3
FOMCpresconf20220316,4
FOMCpresconf20220504,0
FOMCpresconf20220615,4
FOMCpresconf20220727,4
FOMCpresconf20220921,4
FOMCpresconf20221102,0
FOMCpresconf20221214,4
FOMCpresconf20230201,1
FOMCpresconf20230322,4
FOMCpresconf20230503,2
FOMCpresconf20230614,2
FOMCpresconf20230726,2
FOMCpresconf20230920,4
FOMCpresconf20231101,2
FOMCpresconf20231213,0
FOMCpresconf20240131,0
FOMCpresconf20240320,3
FOMCpresconf20240501,4
FOMCpresconf20240612,0
FOMCpresconf20240918,1
FOMCpresconf20241107,3
FOMCpresconf20241218,4
FOMCpresconf20250129,4
FOMCpresconf20250319,3
FOMCpresconf20250507,3
FOMCpresconf20250618,1
FOMCpresconf20250730,4
FOMCpresconf20250917,0
FOMCpresconf20251029,0
FOMCpresconf20251210,3
fomcpresconf20150917,1
fomcpresconf20240731,1
